side,ordering,median,ci_2_5,ci_97_5,n_bootstrap
left,incomplete,0.00234192037470726,0.00234192037470726,0.00702576112412178,340
left,tie,0.9976580796252927,0.9929742388758782,1.0,500
right,incomplete,0.00234192037470726,0.00234192037470726,0.00702576112412178,340
right,tie,0.9976580796252927,0.9929742388758782,1.0,500
