side,primary_expression_groups,primary_sequences,A_before_B_percent,median_lead,mean_lead,positive_lead_percent
left,31,310,94.83870967741936,9.0,12.12258064516129,94.83870967741936
right,31,310,85.80645161290322,7.0,10.580645161290322,85.80645161290322
