expression,folder,A_left,C_left,B_left,A_right,C_right,B_right,A_distance_left,A_distance_right,C_distance_left,C_distance_right,B_distance_left,B_distance_right,AB_lead_left,AC_lead_left,CB_lead_left,AB_lead_right,AC_lead_right,CB_lead_right
Playful,Female_Playful 04,99.0,94.0,92.0,114.0,131.0,131.0,8.0,7.0,13.0,24.0,15.0,24.0,7.0,5.0,2.0,17.0,17.0,0.0
Playful,Female_Playful 05,97.0,98.0,96.0,117.0,117.0,123.0,10.0,10.0,9.0,10.0,11.0,16.0,1.0,-1.0,2.0,6.0,0.0,6.0
Pleasure Oo So Funny,Female_Pleasure Oo So Funny,98.0,97.0,95.0,113.0,117.0,118.0,9.0,6.0,10.0,10.0,12.0,11.0,3.0,1.0,2.0,5.0,4.0,1.0
Romantic,Female_Romantic 01,95.0,84.0,81.0,118.0,125.0,141.0,12.0,11.0,23.0,18.0,26.0,34.0,14.0,11.0,3.0,23.0,7.0,16.0
Romantic,Female_Romantic 02,99.0,100.0,97.0,117.0,115.0,117.0,8.0,10.0,7.0,8.0,10.0,10.0,2.0,-1.0,3.0,0.0,-2.0,2.0
Romantic,Female_Romantic 03,97.0,96.0,96.0,117.0,135.0,137.0,10.0,10.0,11.0,28.0,11.0,30.0,1.0,1.0,0.0,20.0,18.0,2.0
Romantic,Female_Romantic 04,98.0,81.0,81.0,118.0,127.0,131.0,9.0,11.0,26.0,20.0,26.0,24.0,17.0,17.0,0.0,13.0,9.0,4.0
Romantic,Female_Romantic 05,98.0,100.0,97.0,116.0,114.0,116.0,9.0,9.0,7.0,7.0,10.0,9.0,1.0,-2.0,3.0,0.0,-2.0,2.0
S Wink,Female_S Wink 02,93.0,43.0,42.0,120.0,170.0,170.0,14.0,13.0,64.0,63.0,65.0,63.0,51.0,50.0,1.0,50.0,50.0,0.0
Sad,Female_Sad 01,98.0,100.0,95.0,117.0,116.0,119.0,9.0,10.0,7.0,9.0,12.0,12.0,3.0,-2.0,5.0,2.0,-1.0,3.0
Sad,Female_Sad 02,98.0,100.0,96.0,117.0,119.0,125.0,9.0,10.0,7.0,12.0,11.0,18.0,2.0,-2.0,4.0,8.0,2.0,6.0
Sad,Female_Sad 03,96.0,96.0,81.0,119.0,154.0,161.0,11.0,12.0,11.0,47.0,26.0,54.0,15.0,0.0,15.0,42.0,35.0,7.0
Sad,Female_Sad 04,98.0,99.0,98.0,116.0,121.0,126.0,9.0,9.0,8.0,14.0,9.0,19.0,0.0,-1.0,1.0,10.0,5.0,5.0
Sad,Female_Sad 05,99.0,96.0,96.0,117.0,111.0,118.0,8.0,10.0,11.0,4.0,11.0,11.0,3.0,3.0,0.0,1.0,-6.0,7.0
Scream,Female_Scream,98.0,94.0,94.0,120.0,133.0,133.0,9.0,13.0,13.0,26.0,13.0,26.0,4.0,4.0,0.0,13.0,13.0,0.0
Seriousness,Female_Seriousness 01,99.0,102.0,100.0,117.0,111.0,115.0,8.0,10.0,5.0,4.0,7.0,8.0,-1.0,-3.0,2.0,-2.0,-6.0,4.0
Seriousness,Female_Seriousness 02,98.0,92.0,91.0,118.0,119.0,121.0,9.0,11.0,15.0,12.0,16.0,14.0,7.0,6.0,1.0,3.0,1.0,2.0
Seriousness,Female_Seriousness 03,98.0,100.0,98.0,116.0,107.0,119.0,9.0,9.0,7.0,0.0,9.0,12.0,0.0,-2.0,2.0,3.0,-9.0,12.0
Seriousness,Female_Seriousness 04,98.0,93.0,91.0,119.0,120.0,121.0,9.0,12.0,14.0,13.0,16.0,14.0,7.0,5.0,2.0,2.0,1.0,1.0
Seriousness,Female_Seriousness 05,99.0,84.0,83.0,118.0,119.0,120.0,8.0,11.0,23.0,12.0,24.0,13.0,16.0,15.0,1.0,2.0,1.0,1.0
Silly,Female_Silly 01,99.0,86.0,86.0,117.0,128.0,128.0,8.0,10.0,21.0,21.0,21.0,21.0,13.0,13.0,0.0,11.0,11.0,0.0
Silly,Female_Silly 02,98.0,74.0,74.0,120.0,131.0,140.0,9.0,13.0,33.0,24.0,33.0,33.0,24.0,24.0,0.0,20.0,11.0,9.0
Silly,Female_Silly 03,98.0,73.0,73.0,118.0,135.0,140.0,9.0,11.0,34.0,28.0,34.0,33.0,25.0,25.0,0.0,22.0,17.0,5.0
Silly,Female_Silly 04,94.0,81.0,74.0,122.0,154.0,154.0,13.0,15.0,26.0,47.0,33.0,47.0,20.0,13.0,7.0,32.0,32.0,0.0
Silly,Female_Silly 05,98.0,91.0,91.0,118.0,157.0,159.0,9.0,11.0,16.0,50.0,16.0,52.0,7.0,7.0,0.0,41.0,39.0,2.0
Sleepy,Female_Sleepy,94.0,72.0,72.0,118.0,131.0,131.0,13.0,11.0,35.0,24.0,35.0,24.0,22.0,22.0,0.0,13.0,13.0,0.0
Sleepy,Female_Sleepy 01,96.0,32.0,32.0,120.0,182.0,182.0,11.0,13.0,75.0,75.0,75.0,75.0,64.0,64.0,0.0,62.0,62.0,0.0
Sleepy,Female_Sleepy 02,96.0,97.0,96.0,118.0,122.0,129.0,11.0,11.0,10.0,15.0,11.0,22.0,0.0,-1.0,1.0,11.0,4.0,7.0
Sleepy,Female_Sleepy 03,96.0,87.0,86.0,117.0,127.0,127.0,11.0,10.0,20.0,20.0,21.0,20.0,10.0,9.0,1.0,10.0,10.0,0.0
Sleepy,Female_Sleepy 04,96.0,75.0,72.0,119.0,145.0,145.0,11.0,12.0,32.0,38.0,35.0,38.0,24.0,21.0,3.0,26.0,26.0,0.0
Sleepy,Female_Sleepy 05,97.0,95.0,91.0,117.0,119.0,119.0,10.0,10.0,12.0,12.0,16.0,12.0,6.0,2.0,4.0,2.0,2.0,0.0
Subtle,Female_Subtle 01,97.0,94.0,92.0,118.0,119.0,120.0,10.0,11.0,13.0,12.0,15.0,13.0,5.0,3.0,2.0,2.0,1.0,1.0
Subtle,Female_Subtle 02,98.0,100.0,99.0,118.0,116.0,118.0,9.0,11.0,7.0,9.0,8.0,11.0,-1.0,-2.0,1.0,0.0,-2.0,2.0
Subtle,Female_Subtle 03,98.0,101.0,98.0,117.0,112.0,118.0,9.0,10.0,6.0,5.0,9.0,11.0,0.0,-3.0,3.0,1.0,-5.0,6.0
Subtle,Female_Subtle 04,100.0,100.0,99.0,118.0,117.0,118.0,7.0,11.0,7.0,10.0,8.0,11.0,1.0,0.0,1.0,0.0,-1.0,1.0
Talking,Female_Talking 01,98.0,97.0,96.0,119.0,130.0,130.0,9.0,12.0,10.0,23.0,11.0,23.0,2.0,1.0,1.0,11.0,11.0,0.0
Talking,Female_Talking 02,98.0,88.0,83.0,119.0,130.0,130.0,9.0,12.0,19.0,23.0,24.0,23.0,15.0,10.0,5.0,11.0,11.0,0.0
Talking,Female_Talking 03,96.0,84.0,58.0,119.0,127.0,127.0,11.0,12.0,23.0,20.0,49.0,20.0,38.0,12.0,26.0,8.0,8.0,0.0
Talking,Female_Talking 04,98.0,90.0,90.0,119.0,140.0,141.0,9.0,12.0,17.0,33.0,17.0,34.0,8.0,8.0,0.0,22.0,21.0,1.0
Talking,Female_Talking 05,98.0,95.0,94.0,118.0,121.0,123.0,9.0,11.0,12.0,14.0,13.0,16.0,4.0,3.0,1.0,5.0,3.0,2.0
Terror,Female_Terror,98.0,78.0,71.0,116.0,136.0,141.0,9.0,9.0,29.0,29.0,36.0,34.0,27.0,20.0,7.0,25.0,20.0,5.0
Terror Phobia,Female_Terror Phobia,97.0,84.0,84.0,115.0,133.0,134.0,10.0,8.0,23.0,26.0,23.0,27.0,13.0,13.0,0.0,19.0,18.0,1.0
Ulgh,Female_Ulgh,100.0,93.0,44.0,116.0,175.0,176.0,7.0,9.0,14.0,68.0,63.0,69.0,56.0,7.0,49.0,60.0,59.0,1.0
Wicked,Female_Wicked 01,98.0,81.0,79.0,118.0,129.0,136.0,9.0,11.0,26.0,22.0,28.0,29.0,19.0,17.0,2.0,18.0,11.0,7.0
Wicked,Female_Wicked 02,98.0,88.0,87.0,119.0,132.0,134.0,9.0,12.0,19.0,25.0,20.0,27.0,11.0,10.0,1.0,15.0,13.0,2.0
Wicked,Female_Wicked 03,99.0,81.0,80.0,118.0,142.0,143.0,8.0,11.0,26.0,35.0,27.0,36.0,19.0,18.0,1.0,25.0,24.0,1.0
Wicked,Female_Wicked 04,97.0,107.0,102.0,116.0,107.0,114.0,10.0,9.0,0.0,0.0,5.0,7.0,-5.0,-10.0,5.0,-2.0,-9.0,7.0
Wicked,Female_Wicked 05,97.0,107.0,107.0,116.0,107.0,120.0,10.0,9.0,0.0,0.0,0.0,13.0,-10.0,-10.0,0.0,4.0,-9.0,13.0
Wink,Female_Wink,98.0,50.0,41.0,119.0,139.0,139.0,9.0,12.0,57.0,32.0,66.0,32.0,57.0,48.0,9.0,20.0,20.0,0.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 01,100.0,98.0,89.0,116.0,112.0,115.0,7.0,9.0,9.0,5.0,18.0,8.0,11.0,2.0,9.0,-1.0,-4.0,3.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 02,96.0,99.0,80.0,120.0,113.0,131.0,11.0,13.0,8.0,6.0,27.0,24.0,16.0,-3.0,19.0,11.0,-7.0,18.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 03,98.0,91.0,91.0,116.0,129.0,130.0,9.0,9.0,16.0,22.0,16.0,23.0,7.0,7.0,0.0,14.0,13.0,1.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 04,98.0,89.0,89.0,117.0,127.0,127.0,9.0,10.0,18.0,20.0,18.0,20.0,9.0,9.0,0.0,10.0,10.0,0.0
With Forehead Wrinkles Angry,Female_With Forehead Wrinkles Angry 05,95.0,75.0,63.0,118.0,134.0,134.0,12.0,11.0,32.0,27.0,44.0,27.0,32.0,20.0,12.0,16.0,16.0,0.0
ZMouth Open Horizontal,Female_ZMouth Open Horizontal,97.0,96.0,95.0,118.0,120.0,125.0,10.0,11.0,11.0,13.0,12.0,18.0,2.0,1.0,1.0,7.0,2.0,5.0
ZMouth Open Horizontal And Vertical,Female_ZMouth Open Horizontal And Vertical,97.0,84.0,83.0,118.0,130.0,131.0,10.0,11.0,23.0,23.0,24.0,24.0,14.0,13.0,1.0,13.0,12.0,1.0
+10,Male_+10,102.0,93.0,91.0,108.0,121.0,123.0,5.0,1.0,14.0,14.0,16.0,16.0,11.0,9.0,2.0,15.0,13.0,2.0
+20,Male_+20,101.0,93.0,90.0,111.0,125.0,126.0,6.0,4.0,14.0,18.0,17.0,19.0,11.0,8.0,3.0,15.0,14.0,1.0
+20_ZMouth Open Horizontal And Vertical,Male_+20_ZMouth Open Horizontal And Vertical,98.0,68.0,67.0,114.0,147.0,147.0,9.0,7.0,39.0,40.0,40.0,40.0,31.0,30.0,1.0,33.0,33.0,0.0
+30,Male_+30,100.0,77.0,77.0,112.0,137.0,140.0,7.0,5.0,30.0,30.0,30.0,33.0,23.0,23.0,0.0,28.0,25.0,3.0
+40,Male_+40,99.0,96.0,92.0,113.0,123.0,124.0,8.0,6.0,11.0,16.0,15.0,17.0,7.0,3.0,4.0,11.0,10.0,1.0
+50,Male_+50,99.0,37.0,37.0,115.0,176.0,179.0,8.0,8.0,70.0,69.0,70.0,72.0,62.0,62.0,0.0,64.0,61.0,3.0
+50_ZMouth Open Horizontal And Vertical,Male_+50_ZMouth Open Horizontal And Vertical,99.0,67.0,66.0,113.0,156.0,156.0,8.0,6.0,40.0,49.0,41.0,49.0,33.0,32.0,1.0,43.0,43.0,0.0
-10,Male_-10,100.0,90.0,89.0,108.0,126.0,160.0,7.0,1.0,17.0,19.0,18.0,53.0,11.0,10.0,1.0,52.0,18.0,34.0
-10_ZMouth Open Horizontal And Vertical,Male_-10_ZMouth Open Horizontal And Vertical,97.0,85.0,85.0,115.0,124.0,125.0,10.0,8.0,22.0,17.0,22.0,18.0,12.0,12.0,0.0,10.0,9.0,1.0
-20,Male_-20,98.0,80.0,80.0,108.0,139.0,142.0,9.0,1.0,27.0,32.0,27.0,35.0,18.0,18.0,0.0,34.0,31.0,3.0
-20_ZMouth Open Horizontal And Vertical,Male_-20_ZMouth Open Horizontal And Vertical,99.0,50.0,45.0,116.0,161.0,162.0,8.0,9.0,57.0,54.0,62.0,55.0,54.0,49.0,5.0,46.0,45.0,1.0
-30,Male_-30,100.0,100.0,100.0,109.0,116.0,118.0,7.0,2.0,7.0,9.0,7.0,11.0,0.0,0.0,0.0,9.0,7.0,2.0
-40,Male_-40,101.0,91.0,91.0,112.0,123.0,124.0,6.0,5.0,16.0,16.0,16.0,17.0,10.0,10.0,0.0,12.0,11.0,1.0
-50,Male_-50,98.0,34.0,31.0,112.0,174.0,174.0,9.0,5.0,73.0,67.0,76.0,67.0,67.0,64.0,3.0,62.0,62.0,0.0
-60,Male_-60,101.0,89.0,89.0,113.0,132.0,132.0,6.0,6.0,18.0,25.0,18.0,25.0,12.0,12.0,0.0,19.0,19.0,0.0
0,Male_0,101.0,92.0,92.0,108.0,123.0,124.0,6.0,1.0,15.0,16.0,15.0,17.0,9.0,9.0,0.0,16.0,15.0,1.0
Angry,Male_Angry 01,102.0,107.0,97.0,113.0,107.0,144.0,5.0,6.0,0.0,0.0,10.0,37.0,5.0,-5.0,10.0,31.0,-6.0,37.0
Angry,Male_Angry 02,100.0,103.0,76.0,117.0,129.0,135.0,7.0,10.0,4.0,22.0,31.0,28.0,24.0,-3.0,27.0,18.0,12.0,6.0
Angry,Male_Angry 03,101.0,95.0,94.0,113.0,117.0,118.0,6.0,6.0,12.0,10.0,13.0,11.0,7.0,6.0,1.0,5.0,4.0,1.0
Angry,Male_Angry 04,101.0,98.0,98.0,114.0,114.0,115.0,6.0,7.0,9.0,7.0,9.0,8.0,3.0,3.0,0.0,1.0,0.0,1.0
Angry,Male_Angry 05,101.0,83.0,81.0,111.0,127.0,129.0,6.0,4.0,24.0,20.0,26.0,22.0,20.0,18.0,2.0,18.0,16.0,2.0
Anguish,Male_Anguish,101.0,98.0,98.0,113.0,126.0,126.0,6.0,6.0,9.0,19.0,9.0,19.0,3.0,3.0,0.0,13.0,13.0,0.0
Animosity Growl,Male_Animosity Growl,100.0,107.0,106.0,108.0,107.0,128.0,7.0,1.0,0.0,0.0,1.0,21.0,-6.0,-7.0,1.0,20.0,-1.0,21.0
Animosity Rebellious,Male_Animosity Rebellious,100.0,62.0,62.0,110.0,152.0,152.0,7.0,3.0,45.0,45.0,45.0,45.0,38.0,38.0,0.0,42.0,42.0,0.0
Bored,Male_Bored 01,101.0,98.0,96.0,114.0,116.0,116.0,6.0,7.0,9.0,9.0,11.0,9.0,5.0,3.0,2.0,2.0,2.0,0.0
Bored,Male_Bored 03,101.0,101.0,100.0,114.0,112.0,114.0,6.0,7.0,6.0,5.0,7.0,7.0,1.0,0.0,1.0,0.0,-2.0,2.0
Bored,Male_Bored 04,101.0,96.0,96.0,114.0,120.0,129.0,6.0,7.0,11.0,13.0,11.0,22.0,5.0,5.0,0.0,15.0,6.0,9.0
Bored,Male_Bored 05,102.0,102.0,101.0,114.0,119.0,120.0,5.0,7.0,5.0,12.0,6.0,13.0,1.0,0.0,1.0,6.0,5.0,1.0
BreathTaking Over The Moon,Male_BreathTaking Over The Moon,100.0,107.0,102.0,108.0,107.0,112.0,7.0,1.0,0.0,0.0,5.0,5.0,-2.0,-7.0,5.0,4.0,-1.0,5.0
Chewing,Male_Chewing,100.0,98.0,96.0,116.0,118.0,118.0,7.0,9.0,9.0,11.0,11.0,11.0,4.0,2.0,2.0,2.0,2.0,0.0
Choking,Male_Choking,100.0,85.0,85.0,112.0,129.0,129.0,7.0,5.0,22.0,22.0,22.0,22.0,15.0,15.0,0.0,17.0,17.0,0.0
Coughing,Male_Coughing,100.0,101.0,100.0,113.0,115.0,121.0,7.0,6.0,6.0,8.0,7.0,14.0,0.0,-1.0,1.0,8.0,2.0,6.0
Crazed,Male_Crazed,100.0,58.0,58.0,109.0,165.0,166.0,7.0,2.0,49.0,58.0,49.0,59.0,42.0,42.0,0.0,57.0,56.0,1.0
Crying,Male_Crying,101.0,97.0,97.0,115.0,115.0,116.0,6.0,8.0,10.0,8.0,10.0,9.0,4.0,4.0,0.0,1.0,0.0,1.0
Cute,Male_Cute 01,102.0,99.0,97.0,114.0,116.0,117.0,5.0,7.0,8.0,9.0,10.0,10.0,5.0,3.0,2.0,3.0,2.0,1.0
Cute,Male_Cute 02,101.0,104.0,97.0,114.0,112.0,113.0,6.0,7.0,3.0,5.0,10.0,6.0,4.0,-3.0,7.0,-1.0,-2.0,1.0
Cute,Male_Cute 03,102.0,95.0,94.0,114.0,129.0,132.0,5.0,7.0,12.0,22.0,13.0,25.0,8.0,7.0,1.0,18.0,15.0,3.0
Cute,Male_Cute 04,101.0,97.0,97.0,115.0,118.0,119.0,6.0,8.0,10.0,11.0,10.0,12.0,4.0,4.0,0.0,4.0,3.0,1.0
Cute,Male_Cute 05,100.0,100.0,96.0,115.0,112.0,114.0,7.0,8.0,7.0,5.0,11.0,7.0,4.0,0.0,4.0,-1.0,-3.0,2.0
Despise,Male_Despise 01,102.0,102.0,99.0,112.0,117.0,117.0,5.0,5.0,5.0,10.0,8.0,10.0,3.0,0.0,3.0,5.0,5.0,0.0
Despise,Male_Despise 02,102.0,86.0,86.0,112.0,137.0,171.0,5.0,5.0,21.0,30.0,21.0,64.0,16.0,16.0,0.0,59.0,25.0,34.0
Despise,Male_Despise 03,102.0,84.0,84.0,115.0,118.0,123.0,5.0,8.0,23.0,11.0,23.0,16.0,18.0,18.0,0.0,8.0,3.0,5.0
Despise,Male_Despise 04,100.0,96.0,95.0,113.0,120.0,120.0,7.0,6.0,11.0,13.0,12.0,13.0,5.0,4.0,1.0,7.0,7.0,0.0
Despise,Male_Despise 05,101.0,101.0,101.0,114.0,111.0,113.0,6.0,7.0,6.0,4.0,6.0,6.0,0.0,0.0,0.0,-1.0,-3.0,2.0
Determined,Male_Determined,101.0,107.0,99.0,108.0,118.0,118.0,6.0,1.0,0.0,11.0,8.0,11.0,2.0,-6.0,8.0,10.0,10.0,0.0
Distrust,Male_Distrust 01,101.0,102.0,90.0,114.0,117.0,118.0,6.0,7.0,5.0,10.0,17.0,11.0,11.0,-1.0,12.0,4.0,3.0,1.0
Distrust,Male_Distrust 02,100.0,101.0,99.0,115.0,115.0,116.0,7.0,8.0,6.0,8.0,8.0,9.0,1.0,-1.0,2.0,1.0,0.0,1.0
Distrust,Male_Distrust 03,102.0,103.0,102.0,113.0,115.0,116.0,5.0,6.0,4.0,8.0,5.0,9.0,0.0,-1.0,1.0,3.0,2.0,1.0
Distrust,Male_Distrust 04,100.0,101.0,99.0,114.0,111.0,113.0,7.0,7.0,6.0,4.0,8.0,6.0,1.0,-1.0,2.0,-1.0,-3.0,2.0
Distrust,Male_Distrust 05,101.0,98.0,97.0,114.0,122.0,123.0,6.0,7.0,9.0,15.0,10.0,16.0,4.0,3.0,1.0,9.0,8.0,1.0
Empathy,Male_Empathy 01,101.0,105.0,99.0,113.0,112.0,113.0,6.0,6.0,2.0,5.0,8.0,6.0,2.0,-4.0,6.0,0.0,-1.0,1.0
Empathy,Male_Empathy 02,100.0,98.0,97.0,115.0,117.0,118.0,7.0,8.0,9.0,10.0,10.0,11.0,3.0,2.0,1.0,3.0,2.0,1.0
Empathy,Male_Empathy 03,102.0,103.0,97.0,113.0,121.0,121.0,5.0,6.0,4.0,14.0,10.0,14.0,5.0,-1.0,6.0,8.0,8.0,0.0
Empathy,Male_Empathy 04,99.0,97.0,95.0,116.0,112.0,116.0,8.0,9.0,10.0,5.0,12.0,9.0,4.0,2.0,2.0,0.0,-4.0,4.0
Empathy,Male_Empathy 05,100.0,101.0,99.0,116.0,122.0,122.0,7.0,9.0,6.0,15.0,8.0,15.0,1.0,-1.0,2.0,6.0,6.0,0.0
Expressions Anger,Male_Expressions Anger 01,102.0,97.0,92.0,116.0,118.0,125.0,5.0,9.0,10.0,11.0,15.0,18.0,10.0,5.0,5.0,9.0,2.0,7.0
Expressions Anger,Male_Expressions Anger 02,102.0,74.0,74.0,113.0,118.0,120.0,5.0,6.0,33.0,11.0,33.0,13.0,28.0,28.0,0.0,7.0,5.0,2.0
Expressions Anger,Male_Expressions Anger 03,101.0,100.0,99.0,114.0,115.0,116.0,6.0,7.0,7.0,8.0,8.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0
Expressions Anger,Male_Expressions Anger 04,98.0,86.0,85.0,112.0,119.0,119.0,9.0,5.0,21.0,12.0,22.0,12.0,13.0,12.0,1.0,7.0,7.0,0.0
Expressions Anger,Male_Expressions Anger 05,101.0,89.0,89.0,113.0,137.0,137.0,6.0,6.0,18.0,30.0,18.0,30.0,12.0,12.0,0.0,24.0,24.0,0.0
Expressions Confusion,Male_Expressions Confusion 01,103.0,84.0,78.0,112.0,117.0,118.0,4.0,5.0,23.0,10.0,29.0,11.0,25.0,19.0,6.0,6.0,5.0,1.0
Expressions Confusion,Male_Expressions Confusion 02,100.0,91.0,90.0,115.0,121.0,121.0,7.0,8.0,16.0,14.0,17.0,14.0,10.0,9.0,1.0,6.0,6.0,0.0
Expressions Confusion,Male_Expressions Confusion 03,101.0,99.0,98.0,114.0,114.0,114.0,6.0,7.0,8.0,7.0,9.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0
Expressions Confusion,Male_Expressions Confusion 04,101.0,102.0,98.0,114.0,125.0,125.0,6.0,7.0,5.0,18.0,9.0,18.0,3.0,-1.0,4.0,11.0,11.0,0.0
Expressions Confusion,Male_Expressions Confusion 05,102.0,89.0,89.0,116.0,117.0,118.0,5.0,9.0,18.0,10.0,18.0,11.0,13.0,13.0,0.0,2.0,1.0,1.0
Expressions Contempt,Male_Expressions Contempt 01,102.0,86.0,86.0,115.0,116.0,117.0,5.0,8.0,21.0,9.0,21.0,10.0,16.0,16.0,0.0,2.0,1.0,1.0
Expressions Contempt,Male_Expressions Contempt 02,102.0,101.0,98.0,114.0,125.0,126.0,5.0,7.0,6.0,18.0,9.0,19.0,4.0,1.0,3.0,12.0,11.0,1.0
Expressions Contempt,Male_Expressions Contempt 03,102.0,89.0,86.0,115.0,117.0,117.0,5.0,8.0,18.0,10.0,21.0,10.0,16.0,13.0,3.0,2.0,2.0,0.0
Expressions Contempt,Male_Expressions Contempt 04,101.0,101.0,98.0,116.0,114.0,114.0,6.0,9.0,6.0,7.0,9.0,7.0,3.0,0.0,3.0,-2.0,-2.0,0.0
Expressions Contempt,Male_Expressions Contempt 05,101.0,86.0,86.0,114.0,190.0,198.0,6.0,7.0,21.0,83.0,21.0,91.0,15.0,15.0,0.0,84.0,76.0,8.0
Expressions Desire,Male_Expressions Desire 01,101.0,102.0,98.0,115.0,116.0,116.0,6.0,8.0,5.0,9.0,9.0,9.0,3.0,-1.0,4.0,1.0,1.0,0.0
Expressions Desire,Male_Expressions Desire 02,101.0,94.0,94.0,116.0,127.0,130.0,6.0,9.0,13.0,20.0,13.0,23.0,7.0,7.0,0.0,14.0,11.0,3.0
Expressions Desire,Male_Expressions Desire 03,101.0,96.0,94.0,114.0,118.0,119.0,6.0,7.0,11.0,11.0,13.0,12.0,7.0,5.0,2.0,5.0,4.0,1.0
Expressions Desire,Male_Expressions Desire 04,103.0,45.0,33.0,111.0,117.0,117.0,4.0,4.0,62.0,10.0,74.0,10.0,70.0,58.0,12.0,6.0,6.0,0.0
Expressions Desire,Male_Expressions Desire 05,101.0,76.0,73.0,115.0,119.0,120.0,6.0,8.0,31.0,12.0,34.0,13.0,28.0,25.0,3.0,5.0,4.0,1.0
Expressions Disgust,Male_Expressions Disgust 01,100.0,97.0,93.0,114.0,120.0,121.0,7.0,7.0,10.0,13.0,14.0,14.0,7.0,3.0,4.0,7.0,6.0,1.0
Expressions Disgust,Male_Expressions Disgust 02,102.0,91.0,89.0,114.0,119.0,120.0,5.0,7.0,16.0,12.0,18.0,13.0,13.0,11.0,2.0,6.0,5.0,1.0
Expressions Disgust,Male_Expressions Disgust 03,101.0,101.0,99.0,113.0,113.0,114.0,6.0,6.0,6.0,6.0,8.0,7.0,2.0,0.0,2.0,1.0,0.0,1.0
Expressions Disgust,Male_Expressions Disgust 04,102.0,38.0,38.0,113.0,181.0,181.0,5.0,6.0,69.0,74.0,69.0,74.0,64.0,64.0,0.0,68.0,68.0,0.0
Expressions Disgust,Male_Expressions Disgust 05,101.0,95.0,93.0,113.0,119.0,120.0,6.0,6.0,12.0,12.0,14.0,13.0,8.0,6.0,2.0,7.0,6.0,1.0
Expressions Excitement,Male_Expressions Excitement 01,101.0,95.0,91.0,112.0,117.0,118.0,6.0,5.0,12.0,10.0,16.0,11.0,10.0,6.0,4.0,6.0,5.0,1.0
Expressions Excitement,Male_Expressions Excitement 02,102.0,89.0,89.0,113.0,120.0,122.0,5.0,6.0,18.0,13.0,18.0,15.0,13.0,13.0,0.0,9.0,7.0,2.0
Expressions Excitement,Male_Expressions Excitement 03,102.0,95.0,95.0,113.0,114.0,120.0,5.0,6.0,12.0,7.0,12.0,13.0,7.0,7.0,0.0,7.0,1.0,6.0
Expressions Excitement,Male_Expressions Excitement 04,102.0,100.0,95.0,114.0,115.0,116.0,5.0,7.0,7.0,8.0,12.0,9.0,7.0,2.0,5.0,2.0,1.0,1.0
Expressions Excitement,Male_Expressions Excitement 05,100.0,95.0,95.0,115.0,124.0,125.0,7.0,8.0,12.0,17.0,12.0,18.0,5.0,5.0,0.0,10.0,9.0,1.0
Expressions Fear,Male_Expressions Fear 01,100.0,94.0,92.0,114.0,116.0,116.0,7.0,7.0,13.0,9.0,15.0,9.0,8.0,6.0,2.0,2.0,2.0,0.0
Expressions Fear,Male_Expressions Fear 02,102.0,93.0,93.0,113.0,122.0,127.0,5.0,6.0,14.0,15.0,14.0,20.0,9.0,9.0,0.0,14.0,9.0,5.0
Expressions Fear,Male_Expressions Fear 03,100.0,98.0,97.0,114.0,116.0,116.0,7.0,7.0,9.0,9.0,10.0,9.0,3.0,2.0,1.0,2.0,2.0,0.0
Expressions Fear,Male_Expressions Fear 04,100.0,100.0,99.0,114.0,113.0,115.0,7.0,7.0,7.0,6.0,8.0,8.0,1.0,0.0,1.0,1.0,-1.0,2.0
Expressions Fear,Male_Expressions Fear 05,101.0,94.0,91.0,114.0,118.0,120.0,6.0,7.0,13.0,11.0,16.0,13.0,10.0,7.0,3.0,6.0,4.0,2.0
Expressions Happiness,Male_Expressions Happiness 01,102.0,89.0,89.0,115.0,116.0,117.0,5.0,8.0,18.0,9.0,18.0,10.0,13.0,13.0,0.0,2.0,1.0,1.0
Expressions Happiness,Male_Expressions Happiness 02,101.0,86.0,84.0,114.0,120.0,123.0,6.0,7.0,21.0,13.0,23.0,16.0,17.0,15.0,2.0,9.0,6.0,3.0
Expressions Happiness,Male_Expressions Happiness 03,101.0,70.0,68.0,115.0,123.0,123.0,6.0,8.0,37.0,16.0,39.0,16.0,33.0,31.0,2.0,8.0,8.0,0.0
Expressions Happiness,Male_Expressions Happiness 04,101.0,93.0,93.0,116.0,121.0,123.0,6.0,9.0,14.0,14.0,14.0,16.0,8.0,8.0,0.0,7.0,5.0,2.0
Expressions Happiness,Male_Expressions Happiness 05,101.0,80.0,78.0,115.0,155.0,158.0,6.0,8.0,27.0,48.0,29.0,51.0,23.0,21.0,2.0,43.0,40.0,3.0
Expressions Sadness,Male_Expressions Sadness 01,101.0,92.0,92.0,117.0,118.0,120.0,6.0,10.0,15.0,11.0,15.0,13.0,9.0,9.0,0.0,3.0,1.0,2.0
Expressions Sadness,Male_Expressions Sadness 02,101.0,91.0,91.0,113.0,117.0,123.0,6.0,6.0,16.0,10.0,16.0,16.0,10.0,10.0,0.0,10.0,4.0,6.0
