side,n_expression_groups,mean_rate,median_rate,ci_low,ci_high
left,31,0.9482078853046595,1.0,0.9211424731182793,0.971505376344086
right,31,0.8566308243727598,0.9,0.8164784946236558,0.8960573476702508
