folder,gender,expression,A_left_angle,A_left_abs_angle,A_right_angle,A_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_left_integrated_drift_deg,A_right_integrated_drift_deg,A_left_integrated_1_minus_cos,A_right_integrated_1_minus_cos,B_left_consistency_AUC,B_right_consistency_AUC,C_left_margin_AUC,C_right_margin_AUC,A_leads_B_left,C_leads_B_left,B_minus_A_left,B_minus_C_left,A_leads_B_right,C_leads_B_right,B_minus_A_right,B_minus_C_right
Female_-60,Female,-60,-5.0,5.0,5.0,5.0,-24.0,24.0,24.0,24.0,-24.0,24.0,24.0,24.0,-24.0,24.0,24.0,24.0,42.23676407002957,43.52641788375712,0.2868269250214657,0.3029607701524396,0.6542056074766355,0.6074766355140186,0.017936540959037354,0.019088558504514606,1.0,0.0,19.0,0.0,1.0,0.0,19.0,0.0
Female_0,Female,0,-9.0,9.0,5.0,5.0,-30.0,30.0,31.0,31.0,-30.0,30.0,31.0,31.0,-30.0,30.0,31.0,31.0,38.77866114411399,39.1001379957823,0.24199724225240332,0.24406066954692948,0.3317757009345794,0.48130841121495327,-0.02328194858871888,-0.01972955938811614,1.0,0.0,21.0,0.0,1.0,0.0,26.0,0.0
Female_Angry 01,Female,Angry,-7.0,7.0,10.0,10.0,-30.0,30.0,45.0,45.0,-18.0,18.0,12.0,12.0,-30.0,30.0,45.0,45.0,37.03343488122815,40.681803877108564,0.2190438431000041,0.2689411999466263,0.4439252336448598,0.5560747663551402,-0.01215785658248117,-0.02127598574228376,1.0,1.0,23.0,12.0,1.0,1.0,35.0,33.0
Female_Angry 02,Female,Angry,-11.0,11.0,13.0,13.0,-69.0,69.0,29.0,29.0,-6.0,6.0,28.0,28.0,-69.0,69.0,29.0,29.0,35.35145338896279,40.90600231206306,0.2169621570088039,0.28433536452667735,0.6401869158878505,0.3878504672897196,-0.038592808436010484,-0.060029623107375384,1.0,1.0,58.0,63.0,1.0,1.0,16.0,1.0
Female_Angry 03,Female,Angry,-9.0,9.0,10.0,10.0,-21.0,21.0,22.0,22.0,-20.0,20.0,22.0,22.0,-21.0,21.0,22.0,22.0,36.89127324006268,42.50278959541677,0.22073045874310432,0.29197946330097235,0.2383177570093458,0.20093457943925233,-0.023262707708037903,-0.04704318676039437,1.0,1.0,12.0,1.0,1.0,0.0,12.0,0.0
Female_Angry 04,Female,Angry,-8.0,8.0,7.0,7.0,-14.0,14.0,19.0,19.0,-13.0,13.0,14.0,14.0,-14.0,14.0,19.0,19.0,38.18560997347966,42.56680813236771,0.23293077388656475,0.29136485641247756,0.1261682242990654,0.16355140186915887,-0.03329174680130504,-0.04614415068492711,1.0,1.0,6.0,1.0,1.0,1.0,12.0,5.0
Female_Angry 05,Female,Angry,-13.0,13.0,12.0,12.0,-30.0,30.0,22.0,22.0,-29.0,29.0,21.0,21.0,-30.0,30.0,22.0,22.0,33.81211392233305,39.62975141043975,0.2035032404917423,0.26960970920937083,0.2757009345794392,0.20093457943925233,-0.04784853477901387,-0.06317601387745866,1.0,1.0,17.0,1.0,1.0,1.0,10.0,1.0
Female_Anguish,Female,Anguish,-7.0,7.0,7.0,7.0,-12.0,12.0,28.0,28.0,-11.0,11.0,12.0,12.0,-12.0,12.0,28.0,28.0,40.26879948544725,44.343003105894425,0.25742807733678374,0.3153698422084345,0.10747663551401869,0.26635514018691586,-0.04538519248784145,-0.05027631705052385,1.0,1.0,5.0,1.0,1.0,1.0,21.0,16.0
Female_Animosity Growl,Female,Animosity Growl,-6.0,6.0,4.0,4.0,-63.0,63.0,64.0,64.0,-61.0,61.0,64.0,64.0,-63.0,63.0,64.0,64.0,36.871323786049246,36.79487338021537,0.2143880025805714,0.2150991715003397,0.602803738317757,0.5934579439252337,-0.008235652591580543,-0.010928546992417808,1.0,1.0,57.0,2.0,1.0,0.0,60.0,0.0
Female_Animosity Rebellious,Female,Animosity Rebellious,-7.0,7.0,6.0,6.0,-29.0,29.0,29.0,29.0,-25.0,25.0,29.0,29.0,-29.0,29.0,29.0,29.0,36.23371798524233,36.16645187306627,0.20902918042423568,0.21041874768578003,0.677570093457944,0.705607476635514,-0.001904591500202072,0.001597695261518532,1.0,1.0,22.0,4.0,1.0,0.0,23.0,0.0
Female_Bored 01,Female,Bored,-7.0,7.0,6.0,6.0,-13.0,13.0,29.0,29.0,-12.0,12.0,25.0,25.0,-13.0,13.0,29.0,29.0,41.13392805384699,45.00963654027921,0.26902803277300896,0.32044752067494614,0.11682242990654206,0.26635514018691586,-0.05456148631104799,-0.0489927237836,1.0,1.0,6.0,1.0,1.0,1.0,23.0,4.0
Female_Bored 02,Female,Bored,-8.0,8.0,8.0,8.0,-13.0,13.0,31.0,31.0,-13.0,13.0,14.0,14.0,-13.0,13.0,31.0,31.0,40.391765271391826,44.127623934612096,0.2629854865720339,0.3132632313487686,0.11682242990654206,0.3411214953271028,-0.045302607188715,-0.03814538686631996,1.0,0.0,5.0,0.0,1.0,1.0,23.0,17.0
Female_Bored 03,Female,Bored,-8.0,8.0,11.0,11.0,-9.0,9.0,10.0,10.0,-6.0,6.0,8.0,8.0,-9.0,9.0,10.0,10.0,38.836600504188894,41.18275490431028,0.2433698934929393,0.2806444134667655,0.0794392523364486,0.08878504672897196,-0.045909971555816796,-0.04899071184831245,1.0,1.0,1.0,3.0,0.0,1.0,-1.0,2.0
Female_Bored 04,Female,Bored,-10.0,10.0,12.0,12.0,-21.0,21.0,31.0,31.0,-20.0,20.0,23.0,23.0,-21.0,21.0,31.0,31.0,38.7736369137452,42.872711939232374,0.24693926639646013,0.30329077739581883,0.19158878504672897,0.2850467289719626,-0.04235140812174182,-0.05720751711698336,1.0,1.0,11.0,1.0,1.0,1.0,19.0,8.0
Female_Bored 05,Female,Bored,-9.0,9.0,11.0,11.0,-13.0,13.0,13.0,13.0,-9.0,9.0,11.0,11.0,-13.0,13.0,13.0,13.0,40.389093138347164,43.66354898203199,0.26367604314723864,0.31165983855167284,0.11682242990654206,0.11682242990654206,-0.05199340542900228,-0.06344241446980806,1.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0
Female_BreathTaking Over The Moon,Female,BreathTaking Over The Moon,-9.0,9.0,5.0,5.0,-64.0,64.0,86.0,86.0,-58.0,58.0,64.0,64.0,-64.0,64.0,86.0,86.0,35.61104996404915,36.26352117663232,0.20402574232805556,0.21117683938730544,0.7242990654205608,0.7336448598130841,0.0024155590021721672,-0.0016289083200080373,1.0,1.0,55.0,6.0,1.0,1.0,81.0,22.0
Female_Chewing,Female,Chewing,-8.0,8.0,9.0,9.0,-16.0,16.0,26.0,26.0,-14.0,14.0,26.0,26.0,-16.0,16.0,26.0,26.0,39.806256617341084,43.71509472231999,0.2563469735818489,0.30986210035386486,0.14485981308411214,0.2383177570093458,-0.04519574664463507,-0.04921091800538179,1.0,1.0,8.0,2.0,1.0,0.0,17.0,0.0
Female_Choking,Female,Choking,-10.0,10.0,10.0,10.0,-23.0,23.0,17.0,17.0,-16.0,16.0,17.0,17.0,-23.0,23.0,17.0,17.0,38.342094762303006,38.74782728034759,0.24900345016862743,0.2594152221055788,0.29439252336448596,0.1542056074766355,-0.04562167349819825,-0.05791059777001354,1.0,1.0,13.0,7.0,1.0,0.0,7.0,0.0
Female_Coughing,Female,Coughing,-11.0,11.0,10.0,10.0,-65.0,65.0,65.0,65.0,-65.0,65.0,65.0,65.0,-65.0,65.0,65.0,65.0,35.85282719023874,35.62088833568252,0.2139226902868146,0.2122622165724496,0.602803738317757,0.6121495327102804,-0.011915900996912306,-0.013904969825922885,1.0,0.0,54.0,0.0,1.0,0.0,55.0,0.0
Female_Crazed,Female,Crazed,-9.0,9.0,8.0,8.0,-31.0,31.0,59.0,59.0,-31.0,31.0,59.0,59.0,-31.0,31.0,59.0,59.0,35.022049344588666,35.69077453435025,0.20420922325036236,0.21233300238012154,0.40654205607476634,0.602803738317757,-0.017769184625037363,-0.016028742366862074,1.0,0.0,22.0,0.0,1.0,0.0,51.0,0.0
Female_Crying,Female,Crying,-7.0,7.0,7.0,7.0,-12.0,12.0,15.0,15.0,-9.0,9.0,6.0,6.0,-12.0,12.0,15.0,15.0,39.66937321368779,43.866693091169694,0.25089444902455693,0.3103677886668767,0.10747663551401869,0.10747663551401869,-0.046013451625253554,-0.05627354631357104,1.0,1.0,5.0,3.0,1.0,1.0,8.0,9.0
Female_Cute 01,Female,Cute,-9.0,9.0,11.0,11.0,-17.0,17.0,30.0,30.0,-15.0,15.0,30.0,30.0,-17.0,17.0,30.0,30.0,39.65141148433507,43.9844872439019,0.25615156699563857,0.3140143818944414,0.14485981308411214,0.2757009345794392,-0.056338406890352195,-0.05826711181168244,1.0,1.0,8.0,2.0,1.0,0.0,19.0,0.0
Female_Cute 02,Female,Cute,-7.0,7.0,11.0,11.0,-17.0,17.0,23.0,23.0,0.0,0.0,0.0,0.0,-17.0,17.0,23.0,23.0,40.05288220120367,44.80391640306633,0.2570233793459206,0.3229760917547707,0.1542056074766355,0.2102803738317757,-0.05091448225707651,-0.057172952968383504,1.0,1.0,10.0,17.0,1.0,1.0,12.0,23.0
Female_Cute 03,Female,Cute,-8.0,8.0,11.0,11.0,-17.0,17.0,21.0,21.0,-15.0,15.0,20.0,20.0,-17.0,17.0,21.0,21.0,40.18495111821968,43.21834996927564,0.26096724990372344,0.3049489967176847,0.1542056074766355,0.2102803738317757,-0.04982944376000734,-0.04615766506328761,1.0,1.0,9.0,2.0,1.0,1.0,10.0,1.0
Female_Cute 04,Female,Cute,-7.0,7.0,11.0,11.0,-19.0,19.0,19.0,19.0,-16.0,16.0,14.0,14.0,-19.0,19.0,19.0,19.0,40.120879514195096,44.536803677817375,0.2590649150242315,0.3225014610825298,0.17289719626168223,0.17289719626168223,-0.059326064085291924,-0.07166504497840026,1.0,1.0,12.0,3.0,1.0,1.0,8.0,5.0
Female_Cute 05,Female,Cute,-10.0,10.0,11.0,11.0,-12.0,12.0,12.0,12.0,-11.0,11.0,11.0,11.0,-12.0,12.0,12.0,12.0,39.49541073201973,43.89392257850861,0.2544246978848894,0.3149478647196404,0.10747663551401869,0.10747663551401869,-0.05191688378837621,-0.07214893902016577,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Female_Despise 01,Female,Despise,-9.0,9.0,12.0,12.0,-20.0,20.0,13.0,13.0,-19.0,19.0,8.0,8.0,-20.0,20.0,13.0,13.0,39.297644889243294,42.708387499657746,0.2497164799231235,0.30034097945578747,0.1822429906542056,0.09813084112149532,-0.039470906848105315,-0.05046013986395898,1.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0
