direction,abs_angle,A_mean_drift_deg,B_accuracy,C_mean_margin,N
frontal,0.0,0.00025083328787001846,0.9765807962529274,0.013635623231704676,427
left,1.0,4.0534241785768605,0.9859484777517564,0.013787915611713776,427
left,2.0,6.058100466426698,0.9929742388758782,0.014120189311632786,427
left,3.0,7.7466597166217745,0.9953161592505855,0.01443866600197428,427
left,4.0,9.355403177632102,0.9953161592505855,0.014190804762918442,427
left,5.0,10.994291840448312,0.9929742388758782,0.01365166804829582,427
left,6.0,12.498255766526876,0.9742388758782201,0.012685012901136411,427
left,7.0,13.82587980609867,0.955503512880562,0.011886313313343486,427
left,8.0,15.177432040140836,0.9227166276346604,0.010890940452906232,427
left,9.0,16.561295788517043,0.8524590163934426,0.009741713207834499,427
left,10.0,18.00230660539042,0.8126463700234192,0.008866634664825868,427
left,11.0,19.54089797017725,0.7681498829039812,0.008267919687811608,427
left,12.0,20.85549366390398,0.7213114754098361,0.00745198025915606,427
left,13.0,22.05732597511881,0.6557377049180327,0.006486038832251306,427
left,14.0,23.011459949144992,0.6463700234192038,0.005797958625284235,427
left,15.0,23.91185672500932,0.5971896955503513,0.004847772087928004,427
left,16.0,24.92966872132634,0.5550351288056206,0.0036167633617231383,427
left,17.0,25.97029550181619,0.5245901639344263,0.0022472916498117203,427
left,18.0,27.183763595598922,0.4519906323185012,-0.00017425383002752441,427
left,19.0,28.081425409964712,0.44028103044496486,-0.001302455013194743,427
left,20.0,29.013869100208865,0.4332552693208431,-0.0027271865123328896,427
left,21.0,30.229363144421185,0.3700234192037471,-0.004908092407208695,427
left,22.0,31.42988768226927,0.3372365339578454,-0.006996163998052164,427
left,23.0,32.47061550756808,0.30679156908665106,-0.009023099230379913,427
left,24.0,33.492217267145875,0.2857142857142857,-0.010924617495972323,427
left,25.0,34.22581525708808,0.27400468384074944,-0.012033485277475183,427
left,26.0,34.94836449008915,0.2646370023419204,-0.01253295182065048,427
left,27.0,35.6255107584826,0.25526932084309134,-0.013125876492582941,427
left,28.0,36.0165380929058,0.24824355971896955,-0.013202120883682573,427
left,29.0,36.2992175904035,0.25526932084309134,-0.012372221823877696,427
left,30.0,36.73464751411098,0.23185011709601874,-0.01285603677361017,427
left,31.0,36.99381076535799,0.22950819672131148,-0.01330621446323618,427
left,32.0,37.25153764014501,0.22014051522248243,-0.01418472090147139,427
left,33.0,37.60021789961732,0.2224824355971897,-0.015167607635748192,427
left,34.0,37.838317116194645,0.20608899297423888,-0.015742335023589658,427
left,35.0,37.96684333479656,0.2107728337236534,-0.016132539552603728,427
left,36.0,38.48307513967331,0.19672131147540983,-0.017227772946100884,427
left,37.0,38.87766024658775,0.18969555035128804,-0.01750488499009358,427
left,38.0,38.91737837422927,0.20140515222482436,-0.01584043379969005,427
left,39.0,39.082040206051545,0.19672131147540983,-0.015821911412044767,427
left,40.0,39.701385824127556,0.1920374707259953,-0.017439861906216908,427
left,41.0,39.8476696371753,0.18266978922716628,-0.017540258043543797,427
left,42.0,40.178525830878584,0.15456674473067916,-0.01870209606804948,427
left,43.0,40.57883577994496,0.16627634660421545,-0.019392448091395287,427
left,44.0,40.96918039076222,0.1522248243559719,-0.020418830303174273,427
left,45.0,41.42266531236278,0.13348946135831383,-0.021150466709002957,427
left,46.0,41.81425578365281,0.13114754098360656,-0.02168229145523536,427
left,47.0,42.36463304202506,0.11943793911007025,-0.023296536829767518,427
left,48.0,42.91012096628372,0.12646370023419204,-0.02489432867014436,427
left,49.0,43.154213443014605,0.1288056206088993,-0.024566104596336777,427
left,50.0,43.37240635874121,0.11241217798594848,-0.02499265260383731,427
left,51.0,43.794052400968674,0.12177985948477751,-0.025915819392550467,427
left,52.0,43.99377138106549,0.11007025761124122,-0.02562385923131009,427
left,53.0,43.976642403167084,0.117096018735363,-0.02460500255959933,427
left,54.0,44.367720230960174,0.117096018735363,-0.025045056672509437,427
left,55.0,44.577657726386114,0.11241217798594848,-0.02608629858745066,427
left,56.0,44.979637762422584,0.117096018735363,-0.026565039744142625,427
left,57.0,45.503034627409676,0.09836065573770492,-0.027573145803858022,427
left,58.0,45.90749158568907,0.10070257611241218,-0.02872273291022772,427
left,59.0,46.45764863239798,0.09601873536299765,-0.03057770120455454,427
left,60.0,46.538315668039075,0.0936768149882904,-0.030423586764994494,427
left,61.0,46.72001121753273,0.10304449648711944,-0.030822517441921545,427
left,62.0,46.87283705771667,0.09836065573770492,-0.030166869559946886,427
left,63.0,46.90539134470026,0.07494145199063232,-0.030515032713530493,427
left,64.0,47.005233827184455,0.08196721311475409,-0.029296727035308053,427
left,65.0,47.3083349044764,0.0702576112412178,-0.029226781612816125,427
left,66.0,47.460972395099574,0.07494145199063232,-0.02989897180776127,427
left,67.0,47.66184395426051,0.07962529274004684,-0.03040023137590645,427
left,68.0,47.621166407922395,0.07494145199063232,-0.031240221488112868,427
left,69.0,47.9189700678305,0.0585480093676815,-0.03316654142786245,427
left,70.0,48.418701413085365,0.05152224824355972,-0.03541723584682099,427
left,71.0,48.59301227149695,0.05152224824355972,-0.03613235729918826,427
left,72.0,49.27753283212559,0.05620608899297424,-0.038572190237826987,427
left,73.0,49.6443909995729,0.05152224824355972,-0.03961980747674053,427
left,74.0,49.955183542863544,0.04918032786885246,-0.038713670726123965,427
left,75.0,49.915117723880385,0.053864168618266976,-0.03655405778795551,427
left,76.0,49.91307980896997,0.03981264637002342,-0.036630361225342585,427
left,77.0,50.35294633280198,0.04918032786885246,-0.03703598395443633,427
left,78.0,50.25854625299887,0.053864168618266976,-0.037865810706967214,427
left,79.0,50.56874865279544,0.0468384074941452,-0.03973955446439828,427
left,80.0,50.77693622955394,0.04918032786885246,-0.04052386141493393,427
left,81.0,51.57147284693126,0.04215456674473068,-0.04331020958529702,427
left,82.0,52.43496979260054,0.03044496487119438,-0.047319934644520424,427
left,83.0,52.962364062771584,0.03044496487119438,-0.051814954719163774,427
left,84.0,53.16854928081432,0.03981264637002342,-0.05358342669328426,427
left,85.0,53.67450710537841,0.02576112412177986,-0.05634682909945414,427
left,86.0,53.82281194861097,0.02810304449648712,-0.057149770178895366,427
left,87.0,54.20435561061743,0.02810304449648712,-0.06024283805831534,427
left,88.0,54.65940277135344,0.02107728337236534,-0.06335704674207075,427
left,89.0,55.1285695113957,0.01405152224824356,-0.06776857292345033,427
left,90.0,55.34766239639747,0.01639344262295082,-0.0723500700549722,427
left,91.0,55.428814139801666,0.01873536299765808,-0.07394472999930103,427
left,92.0,55.97382289520192,0.01405152224824356,-0.0778738576439002,427
left,93.0,57.210482604051364,0.0117096018735363,-0.08496544881782711,427
left,94.0,57.20442977833804,0.01405152224824356,-0.09305394337942226,427
left,95.0,57.56886363867016,0.0117096018735363,-0.09792654729280316,427
left,96.0,57.93336326009496,0.0117096018735363,-0.1049492245047098,427
left,97.0,58.31144780464977,0.0117096018735363,-0.11054988571854889,427
left,98.0,58.66520037863238,0.0117096018735363,-0.11672132348846775,427
left,99.0,59.124812811822466,0.00936768149882904,-0.1248944699066305,427
left,100.0,59.42183743371896,0.00702576112412178,-0.13137335345951678,427
left,101.0,59.23778422264081,0.00936768149882904,-0.1365831664630345,427
left,102.0,59.56563958518678,0.00936768149882904,-0.14268152761236008,427
left,103.0,60.11656088013839,0.00936768149882904,-0.15049049415270116,427
left,104.0,60.24209037262606,0.00702576112412178,-0.1563317584837907,427
left,105.0,60.752162459862596,0.00468384074941452,-0.15867376135579317,427
left,106.0,61.094847989584856,0.00702576112412178,-0.16153876340361334,427
left,107.0,61.46095929827009,0.00702576112412178,-0.1673804986742118,427
right,1.0,4.898887954216093,0.9976580796252927,0.015144686090304086,427
right,2.0,6.230353654128885,0.9953161592505855,0.01546279845248899,427
right,3.0,7.508944673895557,0.9953161592505855,0.015437568797439825,427
right,4.0,8.858236126654042,0.9953161592505855,0.01527111298585664,427
right,5.0,10.238558830645381,0.9953161592505855,0.014530597023439073,427
right,6.0,11.256715841539013,0.9718969555035128,0.013853167622094969,427
right,7.0,12.329927476284375,0.9508196721311475,0.012805604683431586,427
right,8.0,13.211220682086095,0.9344262295081968,0.011802499690714709,427
right,9.0,14.109120386824953,0.8899297423887588,0.011196316126079693,427
right,10.0,15.302106105750841,0.8454332552693209,0.01041127688990823,427
right,11.0,16.808317829909313,0.7845433255269321,0.00945120058796724,427
right,12.0,18.079960061459687,0.7611241217798594,0.00879172391020442,427
right,13.0,19.742384212636836,0.6978922716627635,0.007282048673205409,427
right,14.0,21.13553978296856,0.6604215456674473,0.006065406201874065,427
right,15.0,22.180234182076376,0.6416861826697893,0.005127625247633708,427
right,16.0,23.466767172623573,0.6088992974238876,0.003936230019607365,427
right,17.0,24.63724637087391,0.5784543325526932,0.0025882919164117103,427
right,18.0,25.735586466778077,0.531615925058548,0.001298393940758091,427
right,19.0,26.98850395640389,0.5011709601873536,0.00011061603068188706,427
right,20.0,28.101645550068984,0.4566744730679157,-0.0011188727072865398,427
right,21.0,29.3471548406525,0.44028103044496486,-0.00216029162150077,427
right,22.0,30.57180218841767,0.41217798594847777,-0.0035562113241512827,427
right,23.0,32.06939396199353,0.37236533957845436,-0.0054240704141121,427
right,24.0,33.21194166321944,0.34660421545667447,-0.006974804178054773,427
right,25.0,33.790523202972054,0.3325526932084309,-0.007398509169629921,427
right,26.0,33.95602217770293,0.3442622950819672,-0.0067632460761684445,427
right,27.0,35.214623149719955,0.30679156908665106,-0.008406344286451853,427
right,28.0,35.91072727533917,0.28805620608899296,-0.009186511017399594,427
right,29.0,36.75368707911471,0.2693208430913349,-0.010237257709547842,427
right,30.0,37.58739795282797,0.2529274004683841,-0.011212682556491825,427
right,31.0,38.16816745820593,0.234192037470726,-0.011358293911891464,427
right,32.0,38.62872633833517,0.24121779859484777,-0.011603013274262046,427
right,33.0,39.16485669406293,0.23185011709601874,-0.011836395889032082,427
right,34.0,39.601578723630524,0.2154566744730679,-0.012958634234703118,427
right,35.0,39.850072333628454,0.20608899297423888,-0.013165901779290943,427
right,36.0,40.24188570116387,0.20843091334894615,-0.01347829488736405,427
right,37.0,40.75577483970052,0.20374707259953162,-0.014246784551919764,427
right,38.0,41.14372997596616,0.20140515222482436,-0.01469635111945016,427
right,39.0,42.20946928377174,0.1920374707259953,-0.017403961344680963,427
right,40.0,43.47911790048211,0.18032786885245902,-0.019735869255780615,427
right,41.0,43.81444671952473,0.1686182669789227,-0.020071247003675904,427
right,42.0,44.4628645742805,0.1592505854800937,-0.021545401641300747,427
right,43.0,45.32147088151346,0.1522248243559719,-0.023686305560886998,427
right,44.0,45.71356481243911,0.15690866510538642,-0.024232343851263684,427
right,45.0,46.12297303782693,0.14988290398126464,-0.02464059714131947,427
right,46.0,46.6522165293995,0.1405152224824356,-0.02630056304730632,427
right,47.0,47.072747920659445,0.1358313817330211,-0.027616126755082356,427
right,48.0,47.22731626452551,0.13817330210772832,-0.02746520332765244,427
right,49.0,47.48953609779233,0.1288056206088993,-0.028174204764935675,427
right,50.0,47.72828436232842,0.12646370023419204,-0.02844303511344856,427
right,51.0,47.86529685741844,0.13348946135831383,-0.028456109050286178,427
right,52.0,48.07284863492086,0.11241217798594848,-0.029657948910492088,427
right,53.0,47.81959101299491,0.12177985948477751,-0.029832351542747552,427
right,54.0,48.352759810186384,0.11943793911007025,-0.03211121997453569,427
right,55.0,48.7689842608271,0.1288056206088993,-0.031703197565235076,427
right,56.0,48.538253199021206,0.12646370023419204,-0.029516309011177938,427
right,57.0,48.788516962556145,0.11943793911007025,-0.028881324258844522,427
right,58.0,48.63124677671482,0.12412177985948478,-0.02740923791635232,427
right,59.0,49.051767541318085,0.11007025761124122,-0.0281849347177099,427
right,60.0,49.281741872604336,0.1053864168618267,-0.027872898399969454,427
right,61.0,49.37158720387229,0.10304449648711944,-0.02784176355781823,427
right,62.0,49.5065677115733,0.11007025761124122,-0.027381493838665356,427
right,63.0,49.96820879540901,0.10304449648711944,-0.028765653419271286,427
right,64.0,50.61569404155365,0.09133489461358314,-0.030571461421823612,427
right,65.0,50.83170638430593,0.08196721311475409,-0.031673852118731104,427
right,66.0,51.26659229823521,0.08665105386416862,-0.03411212919467506,427
right,67.0,51.451463480464746,0.07962529274004684,-0.03511017365533797,427
right,68.0,51.73528849045622,0.07494145199063232,-0.037044343959531406,427
right,69.0,51.84644597252303,0.07728337236533958,-0.0390569275938655,427
right,70.0,52.35658491969946,0.0702576112412178,-0.040903842560859695,427
right,71.0,52.81240432882197,0.05620608899297424,-0.041419629330378224,427
right,72.0,53.390270072347384,0.053864168618266976,-0.04456244719670584,427
right,73.0,53.821047333978655,0.05152224824355972,-0.04583422005595312,427
right,74.0,54.324326579967206,0.0468384074941452,-0.049032314669611304,427
right,75.0,54.93589716605336,0.0468384074941452,-0.051647416950668046,427
right,76.0,55.577759870042286,0.05152224824355972,-0.05616297061605253,427
right,77.0,55.94199207850865,0.04449648711943794,-0.05934170056003597,427
right,78.0,56.10908271557274,0.03981264637002342,-0.059665302482086825,427
right,79.0,56.54838362789824,0.04449648711943794,-0.06099626805799069,427
right,80.0,56.77547518263377,0.04449648711943794,-0.0643854766595559,427
right,81.0,57.43161745987117,0.03747072599531616,-0.06694862372143766,427
right,82.0,58.12338016518944,0.0351288056206089,-0.07187332970197083,427
right,83.0,58.39447683472823,0.02810304449648712,-0.07561610035371445,427
right,84.0,58.707372812811606,0.0234192037470726,-0.07899422102566346,427
right,85.0,58.97915131258462,0.0234192037470726,-0.0820182427868631,427
right,86.0,59.60584496670082,0.01873536299765808,-0.08371039931891394,427
right,87.0,59.91068271395753,0.02576112412177986,-0.08600107470496757,427
right,88.0,60.079114918407285,0.02107728337236534,-0.08665975251298319,427
right,89.0,60.23621978581091,0.02107728337236534,-0.08752739185192546,427
right,90.0,60.35531438429964,0.02107728337236534,-0.08921382040553126,427
right,91.0,60.45373773686501,0.01873536299765808,-0.09238465025637133,427
right,92.0,60.56168413720589,0.0117096018735363,-0.09543623173264765,427
right,93.0,61.296196537777185,0.00936768149882904,-0.10221769337910958,427
right,94.0,61.42486442726725,0.01639344262295082,-0.10837308954299195,427
right,95.0,61.625806196512045,0.0117096018735363,-0.11271398833819798,427
right,96.0,61.972799162674846,0.01405152224824356,-0.11653128472228798,427
right,97.0,62.60900993257831,0.0117096018735363,-0.12379445502015411,427
right,98.0,62.88453989676625,0.0117096018735363,-0.12945958930100435,427
right,99.0,63.12794163187996,0.00936768149882904,-0.1320366021900043,427
right,100.0,63.09717625030589,0.0117096018735363,-0.13431387930340732,427
