identity,side,n_sequences,n_valid_A_B,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead,positive_lead_percent
Female,left,205,205,0.9365853658536586,93.65853658536587,0.8945394395412174,0.9625694889481258,12.0,15.93658536585366,93.65853658536587
Female,right,205,205,0.8536585365853658,85.36585365853658,0.7987763718101126,0.8955297434466178,12.0,16.28780487804878,85.36585365853658
Male,left,222,221,0.9683257918552036,96.83257918552036,0.9360740055581684,0.9845741307297784,9.0,14.393665158371041,96.83257918552036
Male,right,222,221,0.9366515837104072,93.66515837104072,0.896488550620834,0.9618935281403918,8.0,14.515837104072398,93.66515837104072
