identity,side,n,observed_rate,ci_low,ci_high,bootstrap_reps
Female,left,205,0.9365853658536586,0.9024390243902439,0.9659756097560958,5000
Female,right,205,0.8536585365853658,0.8048780487804879,0.9024390243902439,5000
Male,left,222,0.963963963963964,0.9369369369369369,0.9864864864864865,5000
Male,right,222,0.9324324324324325,0.8963963963963963,0.963963963963964,5000
