identity,side,horizon,warning_count,n,warning_rate,warning_rate_percent,ci_low,ci_high
Female,left,1,9,205,0.04390243902439024,4.390243902439024,0.02326621896164316,0.0813183082589872
Female,left,2,23,205,0.11219512195121951,11.219512195121952,0.0759334837540648,0.16272394848165836
Female,left,3,28,205,0.13658536585365855,13.658536585365855,0.09621731612319204,0.19032329647506427
Female,left,5,44,205,0.2146341463414634,21.463414634146343,0.16395219641001937,0.2758145933483429
Female,left,7,59,205,0.28780487804878047,28.780487804878046,0.23018030381570434,0.35323602703025736
Female,left,10,79,205,0.3853658536585366,38.53658536585366,0.32143346868424716,0.4535155836118471
Female,left,15,124,205,0.6048780487804878,60.48780487804878,0.5366156589650012,0.6692820165938912
Female,left,20,146,205,0.7121951219512195,71.21951219512195,0.6467639729697426,0.7698196961842957
Female,left,25,157,205,0.7658536585365854,76.58536585365854,0.7033221585920388,0.8186045073595725
Female,left,30,164,205,0.8,80.0,0.7399506358976935,0.8490124825614642
Female,left,40,172,205,0.8390243902439024,83.90243902439025,0.7825552595822535,0.8830209474569571
Female,left,50,173,205,0.8439024390243902,84.39024390243902,0.787945923852421,0.8872069192592961
Female,right,1,7,205,0.03414634146341464,3.414634146341464,0.016636899864866765,0.06879435521075036
Female,right,2,21,205,0.1024390243902439,10.24390243902439,0.06798132611275226,0.15152283397795763
Female,right,3,28,205,0.13658536585365855,13.658536585365855,0.09621731612319204,0.19032329647506427
Female,right,5,36,205,0.17560975609756097,17.560975609756095,0.12962841826273772,0.23352528291557154
Female,right,7,41,205,0.2,20.0,0.1509875174385358,0.2600493641023066
Female,right,10,64,205,0.3121951219512195,31.21951219512195,0.25270662187399695,0.37859288933449786
Female,right,15,93,205,0.45365853658536587,45.36585365853659,0.38698377016530994,0.5220381871458771
Female,right,20,119,205,0.5804878048780487,58.048780487804876,0.5120615540367282,0.6459529411596312
Female,right,25,138,205,0.6731707317073171,67.31707317073172,0.6062889602711149,0.7336816203028705
Female,right,30,146,205,0.7121951219512195,71.21951219512195,0.6467639729697426,0.7698196961842957
Female,right,40,152,205,0.7414634146341463,74.14634146341463,0.6774740489544537,0.7965694366346243
Female,right,50,157,205,0.7658536585365854,76.58536585365854,0.7033221585920388,0.8186045073595725
Male,left,1,9,221,0.04072398190045249,4.072398190045249,0.021570282464229172,0.07557188339831586
Male,left,2,21,221,0.09502262443438914,9.502262443438914,0.06299147076932333,0.14089250799617203
Male,left,3,36,221,0.16289592760180996,16.289592760180994,0.12004483102246552,0.21726641387171783
Male,left,5,60,221,0.27149321266968324,27.149321266968325,0.21713464173902505,0.333660228961059
Male,left,7,81,221,0.3665158371040724,36.65158371040724,0.3057709887017852,0.4318220545784619
Male,left,10,114,221,0.5158371040723982,51.58371040723983,0.450242403916853,0.5808906248465077
Male,left,15,155,221,0.7013574660633484,70.13574660633483,0.6379959424279305,0.7578382804205104
Male,left,20,169,221,0.7647058823529411,76.47058823529412,0.7045529825307623,0.8158133553711205
Male,left,25,179,221,0.8099547511312217,80.99547511312217,0.7531028320704074,0.8562150165839342
Male,left,30,189,221,0.8552036199095022,85.52036199095022,0.8027388388193673,0.8955305205874329
Male,left,40,197,221,0.8914027149321267,89.14027149321268,0.8435000603885077,0.9259305076202595
Male,left,50,201,221,0.9095022624434389,90.9502262443439,0.8643578436834154,0.9406533286263352
Male,right,1,14,221,0.06334841628959276,6.334841628959276,0.03810647185960824,0.10351144937916609
Male,right,2,30,221,0.13574660633484162,13.574660633484163,0.09676806330542623,0.18717227513728188
Male,right,3,42,221,0.19004524886877827,19.004524886877828,0.1437849834160658,0.24689716792959268
Male,right,5,65,221,0.29411764705882354,29.411764705882355,0.23797292814123025,0.35729769793508304
Male,right,7,91,221,0.4117647058823529,41.17647058823529,0.34892397995539426,0.4776205740773115
Male,right,10,116,221,0.5248868778280543,52.488687782805435,0.45918494568975055,0.5897383852241018
Male,right,15,145,221,0.6561085972850679,65.61085972850678,0.5912948643207111,0.7155878477752712
Male,right,20,162,221,0.7330316742081447,73.30316742081448,0.6710891134475266,0.7870111669276353
Male,right,25,171,221,0.7737556561085973,77.37556561085974,0.7141885959325073,0.8239680441198675
Male,right,30,175,221,0.7918552036199095,79.18552036199095,0.7335679861735154,0.8401692581798428
Male,right,40,187,221,0.8461538461538461,84.61538461538461,0.7927088339221602,0.8877702233341482
Male,right,50,193,221,0.8733031674208145,87.33031674208145,0.8229802902185054,0.9108696734892784
