folder,expression,sex_identity,appearance_identity,identity_family,side,A_view,C_view,B_view,A_distance,C_distance,B_distance,A_B_lead,A_before_B,n_viewpoints,reference_viewpoint,true_folder
Female_Anguish,Anguish,Female,Female_Base,Female,left,100.0,96.0,95.0,7,11.0,12.0,5.0,1,215,107,Female_Anguish
Female_Anguish,Anguish,Female,Female_Base,Female,right,114.0,119.0,135.0,7,12.0,28.0,21.0,1,215,107,Female_Anguish
Female_Animosity Growl,Animosity Growl,Female,Female_Base,Female,left,101.0,46.0,44.0,6,61.0,63.0,57.0,1,215,107,Female_Animosity Growl
Female_Animosity Growl,Animosity Growl,Female,Female_Base,Female,right,111.0,171.0,171.0,4,64.0,64.0,60.0,1,215,107,Female_Animosity Growl
Female_Animosity Rebellious,Animosity Rebellious,Female,Female_Base,Female,left,100.0,82.0,78.0,7,25.0,29.0,22.0,1,215,107,Female_Animosity Rebellious
Female_Animosity Rebellious,Animosity Rebellious,Female,Female_Base,Female,right,113.0,136.0,136.0,6,29.0,29.0,23.0,1,215,107,Female_Animosity Rebellious
Female_Bored 01,Bored,Female,Female_Base,Female,left,100.0,95.0,94.0,7,12.0,13.0,6.0,1,215,107,Female_Bored 01
Female_Bored 01,Bored,Female,Female_Base,Female,right,113.0,132.0,136.0,6,25.0,29.0,23.0,1,215,107,Female_Bored 01
Female_Bored 02,Bored,Female,Female_Base,Female,left,99.0,94.0,94.0,8,13.0,13.0,5.0,1,215,107,Female_Bored 02
Female_Bored 02,Bored,Female,Female_Base,Female,right,115.0,121.0,138.0,8,14.0,31.0,23.0,1,215,107,Female_Bored 02
Female_Bored 03,Bored,Female,Female_Base,Female,left,99.0,101.0,98.0,8,6.0,9.0,1.0,1,215,107,Female_Bored 03
Female_Bored 03,Bored,Female,Female_Base,Female,right,118.0,115.0,117.0,11,8.0,10.0,-1.0,0,215,107,Female_Bored 03
Female_Bored 04,Bored,Female,Female_Base,Female,left,97.0,87.0,86.0,10,20.0,21.0,11.0,1,215,107,Female_Bored 04
Female_Bored 04,Bored,Female,Female_Base,Female,right,119.0,130.0,138.0,12,23.0,31.0,19.0,1,215,107,Female_Bored 04
Female_Bored 05,Bored,Female,Female_Base,Female,left,98.0,98.0,94.0,9,9.0,13.0,4.0,1,215,107,Female_Bored 05
Female_Bored 05,Bored,Female,Female_Base,Female,right,118.0,118.0,120.0,11,11.0,13.0,2.0,1,215,107,Female_Bored 05
Female_BreathTaking Over The Moon,BreathTaking Over The Moon,Female,Female_Base,Female,left,98.0,49.0,43.0,9,58.0,64.0,55.0,1,215,107,Female_BreathTaking Over The Moon
Female_BreathTaking Over The Moon,BreathTaking Over The Moon,Female,Female_Base,Female,right,112.0,171.0,193.0,5,64.0,86.0,81.0,1,215,107,Female_BreathTaking Over The Moon
Female_Chewing,Chewing,Female,Female_Base,Female,left,99.0,93.0,91.0,8,14.0,16.0,8.0,1,215,107,Female_Chewing
Female_Chewing,Chewing,Female,Female_Base,Female,right,116.0,133.0,133.0,9,26.0,26.0,17.0,1,215,107,Female_Chewing
Female_Choking,Choking,Female,Female_Base,Female,left,97.0,91.0,84.0,10,16.0,23.0,13.0,1,215,107,Female_Choking
Female_Choking,Choking,Female,Female_Base,Female,right,117.0,124.0,124.0,10,17.0,17.0,7.0,1,215,107,Female_Choking
Female_Coughing,Coughing,Female,Female_Base,Female,left,96.0,42.0,42.0,11,65.0,65.0,54.0,1,215,107,Female_Coughing
Female_Coughing,Coughing,Female,Female_Base,Female,right,117.0,172.0,172.0,10,65.0,65.0,55.0,1,215,107,Female_Coughing
Female_Crazed,Crazed,Female,Female_Base,Female,left,98.0,76.0,76.0,9,31.0,31.0,22.0,1,215,107,Female_Crazed
Female_Crazed,Crazed,Female,Female_Base,Female,right,115.0,166.0,166.0,8,59.0,59.0,51.0,1,215,107,Female_Crazed
Female_Crying,Crying,Female,Female_Base,Female,left,100.0,98.0,95.0,7,9.0,12.0,5.0,1,215,107,Female_Crying
Female_Crying,Crying,Female,Female_Base,Female,right,114.0,113.0,122.0,7,6.0,15.0,8.0,1,215,107,Female_Crying
Female_Cute 01,Cute,Female,Female_Base,Female,left,98.0,92.0,90.0,9,15.0,17.0,8.0,1,215,107,Female_Cute 01
Female_Cute 01,Cute,Female,Female_Base,Female,right,118.0,137.0,137.0,11,30.0,30.0,19.0,1,215,107,Female_Cute 01
Female_Cute 02,Cute,Female,Female_Base,Female,left,100.0,106.0,90.0,7,1.0,17.0,10.0,1,215,107,Female_Cute 02
Female_Cute 02,Cute,Female,Female_Base,Female,right,118.0,108.0,130.0,11,1.0,23.0,12.0,1,215,107,Female_Cute 02
Female_Cute 03,Cute,Female,Female_Base,Female,left,99.0,92.0,90.0,8,15.0,17.0,9.0,1,215,107,Female_Cute 03
Female_Cute 03,Cute,Female,Female_Base,Female,right,118.0,127.0,128.0,11,20.0,21.0,10.0,1,215,107,Female_Cute 03
Female_Cute 04,Cute,Female,Female_Base,Female,left,100.0,91.0,88.0,7,16.0,19.0,12.0,1,215,107,Female_Cute 04
Female_Cute 04,Cute,Female,Female_Base,Female,right,118.0,121.0,126.0,11,14.0,19.0,8.0,1,215,107,Female_Cute 04
Female_Cute 05,Cute,Female,Female_Base,Female,left,97.0,96.0,95.0,10,11.0,12.0,2.0,1,215,107,Female_Cute 05
Female_Cute 05,Cute,Female,Female_Base,Female,right,118.0,118.0,119.0,11,11.0,12.0,1.0,1,215,107,Female_Cute 05
Female_Despise 01,Despise,Female,Female_Base,Female,left,98.0,88.0,87.0,9,19.0,20.0,11.0,1,215,107,Female_Despise 01
Female_Despise 01,Despise,Female,Female_Base,Female,right,119.0,115.0,120.0,12,8.0,13.0,1.0,1,215,107,Female_Despise 01
Female_Despise 02,Despise,Female,Female_Base,Female,left,98.0,79.0,78.0,9,28.0,29.0,20.0,1,215,107,Female_Despise 02
Female_Despise 02,Despise,Female,Female_Base,Female,right,117.0,132.0,134.0,10,25.0,27.0,17.0,1,215,107,Female_Despise 02
Female_Despise 03,Despise,Female,Female_Base,Female,left,98.0,87.0,85.0,9,20.0,22.0,13.0,1,215,107,Female_Despise 03
Female_Despise 03,Despise,Female,Female_Base,Female,right,118.0,128.0,130.0,11,21.0,23.0,12.0,1,215,107,Female_Despise 03
Female_Despise 04,Despise,Female,Female_Base,Female,left,98.0,97.0,94.0,9,10.0,13.0,4.0,1,215,107,Female_Despise 04
Female_Despise 04,Despise,Female,Female_Base,Female,right,117.0,124.0,125.0,10,17.0,18.0,8.0,1,215,107,Female_Despise 04
