folder,expression,sex_identity,appearance_identity,identity_family,side,A_view,C_view,B_view,A_distance,C_distance,B_distance,A_B_lead,A_before_B,n_viewpoints,reference_viewpoint,true_folder
Female_Expressions Fear 05,Expressions Fear,Female,Female_Base,Female,left,97.0,97.0,95.0,10,10.0,12.0,2.0,1,215,107,Female_Expressions Fear 05
Female_Expressions Fear 05,Expressions Fear,Female,Female_Base,Female,right,128.0,124.0,128.0,21,17.0,21.0,0.0,0,215,107,Female_Expressions Fear 05
Female_Expressions Happiness 01,Expressions Happiness,Female,Female_Base,Female,left,98.0,83.0,81.0,9,24.0,26.0,17.0,1,215,107,Female_Expressions Happiness 01
Female_Expressions Happiness 01,Expressions Happiness,Female,Female_Base,Female,right,127.0,125.0,126.0,20,18.0,19.0,-1.0,0,215,107,Female_Expressions Happiness 01
Female_Expressions Happiness 02,Expressions Happiness,Female,Female_Base,Female,left,98.0,93.0,85.0,9,14.0,22.0,13.0,1,215,107,Female_Expressions Happiness 02
Female_Expressions Happiness 02,Expressions Happiness,Female,Female_Base,Female,right,127.0,126.0,131.0,20,19.0,24.0,4.0,1,215,107,Female_Expressions Happiness 02
Female_Expressions Happiness 03,Expressions Happiness,Female,Female_Base,Female,left,97.0,96.0,83.0,10,11.0,24.0,14.0,1,215,107,Female_Expressions Happiness 03
Female_Expressions Happiness 03,Expressions Happiness,Female,Female_Base,Female,right,130.0,130.0,130.0,23,23.0,23.0,0.0,0,215,107,Female_Expressions Happiness 03
Female_Expressions Happiness 04,Expressions Happiness,Female,Female_Base,Female,left,97.0,82.0,81.0,10,25.0,26.0,16.0,1,215,107,Female_Expressions Happiness 04
Female_Expressions Happiness 04,Expressions Happiness,Female,Female_Base,Female,right,129.0,126.0,137.0,22,19.0,30.0,8.0,1,215,107,Female_Expressions Happiness 04
Female_Expressions Happiness 05,Expressions Happiness,Female,Female_Base,Female,left,97.0,80.0,78.0,10,27.0,29.0,19.0,1,215,107,Female_Expressions Happiness 05
Female_Expressions Happiness 05,Expressions Happiness,Female,Female_Base,Female,right,129.0,130.0,132.0,22,23.0,25.0,3.0,1,215,107,Female_Expressions Happiness 05
Female_Expressions Sadness 01,Expressions Sadness,Female,Female_Base,Female,left,98.0,94.0,85.0,9,13.0,22.0,13.0,1,215,107,Female_Expressions Sadness 01
Female_Expressions Sadness 01,Expressions Sadness,Female,Female_Base,Female,right,127.0,120.0,125.0,20,13.0,18.0,-2.0,0,215,107,Female_Expressions Sadness 01
Female_Expressions Sadness 02,Expressions Sadness,Female,Female_Base,Female,left,96.0,57.0,57.0,11,50.0,50.0,39.0,1,215,107,Female_Expressions Sadness 02
Female_Expressions Sadness 02,Expressions Sadness,Female,Female_Base,Female,right,128.0,146.0,153.0,21,39.0,46.0,25.0,1,215,107,Female_Expressions Sadness 02
Female_Expressions Sadness 03,Expressions Sadness,Female,Female_Base,Female,left,98.0,99.0,98.0,9,8.0,9.0,0.0,0,215,107,Female_Expressions Sadness 03
Female_Expressions Sadness 03,Expressions Sadness,Female,Female_Base,Female,right,126.0,120.0,125.0,19,13.0,18.0,-1.0,0,215,107,Female_Expressions Sadness 03
Female_Expressions Sadness 04,Expressions Sadness,Female,Female_Base,Female,left,99.0,95.0,94.0,8,12.0,13.0,5.0,1,215,107,Female_Expressions Sadness 04
Female_Expressions Sadness 04,Expressions Sadness,Female,Female_Base,Female,right,127.0,127.0,127.0,20,20.0,20.0,0.0,0,215,107,Female_Expressions Sadness 04
Female_Expressions Sadness 05,Expressions Sadness,Female,Female_Base,Female,left,98.0,92.0,85.0,9,15.0,22.0,13.0,1,215,107,Female_Expressions Sadness 05
Female_Expressions Sadness 05,Expressions Sadness,Female,Female_Base,Female,right,128.0,130.0,131.0,21,23.0,24.0,3.0,1,215,107,Female_Expressions Sadness 05
Female_Expressions Surprise 01,Expressions Surprise,Female,Female_Base,Female,left,99.0,42.0,42.0,8,65.0,65.0,57.0,1,215,107,Female_Expressions Surprise 01
Female_Expressions Surprise 01,Expressions Surprise,Female,Female_Base,Female,right,124.0,165.0,166.0,17,58.0,59.0,42.0,1,215,107,Female_Expressions Surprise 01
Female_Expressions Surprise 02,Expressions Surprise,Female,Female_Base,Female,left,98.0,82.0,82.0,9,25.0,25.0,16.0,1,215,107,Female_Expressions Surprise 02
Female_Expressions Surprise 02,Expressions Surprise,Female,Female_Base,Female,right,128.0,128.0,134.0,21,21.0,27.0,6.0,1,215,107,Female_Expressions Surprise 02
Female_Expressions Surprise 03,Expressions Surprise,Female,Female_Base,Female,left,98.0,92.0,90.0,9,15.0,17.0,8.0,1,215,107,Female_Expressions Surprise 03
Female_Expressions Surprise 03,Expressions Surprise,Female,Female_Base,Female,right,129.0,130.0,131.0,22,23.0,24.0,2.0,1,215,107,Female_Expressions Surprise 03
Female_Expressions Surprise 04,Expressions Surprise,Female,Female_Base,Female,left,96.0,87.0,86.0,11,20.0,21.0,10.0,1,215,107,Female_Expressions Surprise 04
Female_Expressions Surprise 04,Expressions Surprise,Female,Female_Base,Female,right,130.0,141.0,146.0,23,34.0,39.0,16.0,1,215,107,Female_Expressions Surprise 04
Female_Expressions Surprise 05,Expressions Surprise,Female,Female_Base,Female,left,97.0,84.0,75.0,10,23.0,32.0,22.0,1,215,107,Female_Expressions Surprise 05
Female_Expressions Surprise 05,Expressions Surprise,Female,Female_Base,Female,right,130.0,140.0,141.0,23,33.0,34.0,11.0,1,215,107,Female_Expressions Surprise 05
Female_Eyeglasses 1,Eyeglasses,Female,Female_Base,Female,left,103.0,22.0,22.0,4,85.0,85.0,81.0,1,215,107,Female_Eyeglasses 1
Female_Eyeglasses 1,Eyeglasses,Female,Female_Base,Female,right,110.0,193.0,193.0,3,86.0,86.0,83.0,1,215,107,Female_Eyeglasses 1
Female_Fear 01,Fear,Female,Female_Base,Female,left,97.0,35.0,35.0,10,72.0,72.0,62.0,1,215,107,Female_Fear 01
Female_Fear 01,Fear,Female,Female_Base,Female,right,119.0,133.0,133.0,12,26.0,26.0,14.0,1,215,107,Female_Fear 01
Female_Fear 02,Fear,Female,Female_Base,Female,left,97.0,84.0,83.0,10,23.0,24.0,14.0,1,215,107,Female_Fear 02
Female_Fear 02,Fear,Female,Female_Base,Female,right,118.0,145.0,146.0,11,38.0,39.0,28.0,1,215,107,Female_Fear 02
Female_Fear 03,Fear,Female,Female_Base,Female,left,97.0,82.0,80.0,10,25.0,27.0,17.0,1,215,107,Female_Fear 03
Female_Fear 03,Fear,Female,Female_Base,Female,right,117.0,128.0,130.0,10,21.0,23.0,13.0,1,215,107,Female_Fear 03
Female_Fear 04,Fear,Female,Female_Base,Female,left,98.0,87.0,86.0,9,20.0,21.0,12.0,1,215,107,Female_Fear 04
Female_Fear 04,Fear,Female,Female_Base,Female,right,118.0,147.0,147.0,11,40.0,40.0,29.0,1,215,107,Female_Fear 04
Female_Fear 05,Fear,Female,Female_Base,Female,left,98.0,85.0,75.0,9,22.0,32.0,23.0,1,215,107,Female_Fear 05
Female_Fear 05,Fear,Female,Female_Base,Female,right,119.0,136.0,138.0,12,29.0,31.0,19.0,1,215,107,Female_Fear 05
Female_Fierce Cutthroat,Fierce Cutthroat,Female,Female_Base,Female,left,99.0,86.0,86.0,8,21.0,21.0,13.0,1,215,107,Female_Fierce Cutthroat
Female_Fierce Cutthroat,Fierce Cutthroat,Female,Female_Base,Female,right,112.0,124.0,128.0,5,17.0,21.0,16.0,1,215,107,Female_Fierce Cutthroat
Female_Fierce Fiery,Fierce Fiery,Female,Female_Base,Female,left,98.0,89.0,88.0,9,18.0,19.0,10.0,1,215,107,Female_Fierce Fiery
Female_Fierce Fiery,Fierce Fiery,Female,Female_Base,Female,right,113.0,124.0,124.0,6,17.0,17.0,11.0,1,215,107,Female_Fierce Fiery
Female_Fierce Savage,Fierce Savage,Female,Female_Base,Female,left,99.0,85.0,85.0,8,22.0,22.0,14.0,1,215,107,Female_Fierce Savage
Female_Fierce Savage,Fierce Savage,Female,Female_Base,Female,right,111.0,187.0,188.0,4,80.0,81.0,77.0,1,215,107,Female_Fierce Savage
Female_Happy 01,Happy,Female,Female_Base,Female,left,97.0,97.0,84.0,10,10.0,23.0,13.0,1,215,107,Female_Happy 01
Female_Happy 01,Happy,Female,Female_Base,Female,right,119.0,119.0,120.0,12,12.0,13.0,1.0,1,215,107,Female_Happy 01
Female_Happy 02,Happy,Female,Female_Base,Female,left,99.0,98.0,92.0,8,9.0,15.0,7.0,1,215,107,Female_Happy 02
Female_Happy 02,Happy,Female,Female_Base,Female,right,116.0,118.0,121.0,9,11.0,14.0,5.0,1,215,107,Female_Happy 02
Female_Happy 03,Happy,Female,Female_Base,Female,left,99.0,94.0,89.0,8,13.0,18.0,10.0,1,215,107,Female_Happy 03
Female_Happy 03,Happy,Female,Female_Base,Female,right,116.0,122.0,125.0,9,15.0,18.0,9.0,1,215,107,Female_Happy 03
Female_Happy 04,Happy,Female,Female_Base,Female,left,100.0,93.0,91.0,7,14.0,16.0,9.0,1,215,107,Female_Happy 04
Female_Happy 04,Happy,Female,Female_Base,Female,right,116.0,130.0,130.0,9,23.0,23.0,14.0,1,215,107,Female_Happy 04
Female_Happy 05,Happy,Female,Female_Base,Female,left,96.0,90.0,89.0,11,17.0,18.0,7.0,1,215,107,Female_Happy 05
Female_Happy 05,Happy,Female,Female_Base,Female,right,118.0,131.0,136.0,11,24.0,29.0,18.0,1,215,107,Female_Happy 05
Female_Happy Elated,Happy Elated,Female,Female_Base,Female,left,97.0,85.0,84.0,10,22.0,23.0,13.0,1,215,107,Female_Happy Elated
Female_Happy Elated,Happy Elated,Female,Female_Base,Female,right,115.0,144.0,144.0,8,37.0,37.0,29.0,1,215,107,Female_Happy Elated
Female_Happy Perky,Happy Perky,Female,Female_Base,Female,left,99.0,83.0,83.0,8,24.0,24.0,16.0,1,215,107,Female_Happy Perky
Female_Happy Perky,Happy Perky,Female,Female_Base,Female,right,108.0,131.0,131.0,1,24.0,24.0,23.0,1,215,107,Female_Happy Perky
Female_Happy So Peaceful,Happy So Peaceful,Female,Female_Base,Female,left,96.0,59.0,59.0,11,48.0,48.0,37.0,1,215,107,Female_Happy So Peaceful
Female_Happy So Peaceful,Happy So Peaceful,Female,Female_Base,Female,right,115.0,152.0,155.0,8,45.0,48.0,40.0,1,215,107,Female_Happy So Peaceful
Female_Humiliated,Humiliated,Female,Female_Base,Female,left,98.0,95.0,86.0,9,12.0,21.0,12.0,1,215,107,Female_Humiliated
Female_Humiliated,Humiliated,Female,Female_Base,Female,right,114.0,138.0,138.0,7,31.0,31.0,24.0,1,215,107,Female_Humiliated
Female_Insanity Deranged,Insanity Deranged,Female,Female_Base,Female,left,99.0,65.0,64.0,8,42.0,43.0,35.0,1,215,107,Female_Insanity Deranged
Female_Insanity Deranged,Insanity Deranged,Female,Female_Base,Female,right,112.0,184.0,191.0,5,77.0,84.0,79.0,1,215,107,Female_Insanity Deranged
Female_Insanity Go Cuckoo,Insanity Go Cuckoo,Female,Female_Base,Female,left,98.0,86.0,86.0,9,21.0,21.0,12.0,1,215,107,Female_Insanity Go Cuckoo
Female_Insanity Go Cuckoo,Insanity Go Cuckoo,Female,Female_Base,Female,right,118.0,132.0,132.0,11,25.0,25.0,14.0,1,215,107,Female_Insanity Go Cuckoo
Female_Insanity Going Crazy,Insanity Going Crazy,Female,Female_Base,Female,left,95.0,83.0,83.0,12,24.0,24.0,12.0,1,215,107,Female_Insanity Going Crazy
Female_Insanity Going Crazy,Insanity Going Crazy,Female,Female_Base,Female,right,118.0,133.0,136.0,11,26.0,29.0,18.0,1,215,107,Female_Insanity Going Crazy
Female_Insanity Hostile,Insanity Hostile,Female,Female_Base,Female,left,98.0,67.0,51.0,9,40.0,56.0,47.0,1,215,107,Female_Insanity Hostile
Female_Insanity Hostile,Insanity Hostile,Female,Female_Base,Female,right,114.0,162.0,174.0,7,55.0,67.0,60.0,1,215,107,Female_Insanity Hostile
Female_Insanity Lunatic,Insanity Lunatic,Female,Female_Base,Female,left,99.0,94.0,92.0,8,13.0,15.0,7.0,1,215,107,Female_Insanity Lunatic
Female_Insanity Lunatic,Insanity Lunatic,Female,Female_Base,Female,right,110.0,128.0,128.0,3,21.0,21.0,18.0,1,215,107,Female_Insanity Lunatic
Female_Joy 01,Joy,Female,Female_Base,Female,left,98.0,96.0,93.0,9,11.0,14.0,5.0,1,215,107,Female_Joy 01
Female_Joy 01,Joy,Female,Female_Base,Female,right,116.0,114.0,115.0,9,7.0,8.0,-1.0,0,215,107,Female_Joy 01
Female_Joy 02,Joy,Female,Female_Base,Female,left,97.0,82.0,67.0,10,25.0,40.0,30.0,1,215,107,Female_Joy 02
Female_Joy 02,Joy,Female,Female_Base,Female,right,117.0,146.0,146.0,10,39.0,39.0,29.0,1,215,107,Female_Joy 02
Female_Joy 03,Joy,Female,Female_Base,Female,left,95.0,59.0,59.0,12,48.0,48.0,36.0,1,215,107,Female_Joy 03
Female_Joy 03,Joy,Female,Female_Base,Female,right,120.0,157.0,162.0,13,50.0,55.0,42.0,1,215,107,Female_Joy 03
Female_Joy 04,Joy,Female,Female_Base,Female,left,98.0,98.0,96.0,9,9.0,11.0,2.0,1,215,107,Female_Joy 04
Female_Joy 04,Joy,Female,Female_Base,Female,right,118.0,131.0,132.0,11,24.0,25.0,14.0,1,215,107,Female_Joy 04
Female_Joy 05,Joy,Female,Female_Base,Female,left,96.0,48.0,39.0,11,59.0,68.0,57.0,1,215,107,Female_Joy 05
Female_Joy 05,Joy,Female,Female_Base,Female,right,120.0,129.0,142.0,13,22.0,35.0,22.0,1,215,107,Female_Joy 05
Female_Judgemental 01,Judgemental,Female,Female_Base,Female,left,97.0,92.0,92.0,10,15.0,15.0,5.0,1,215,107,Female_Judgemental 01
Female_Judgemental 01,Judgemental,Female,Female_Base,Female,right,115.0,118.0,124.0,8,11.0,17.0,9.0,1,215,107,Female_Judgemental 01
Female_Judgemental 02,Judgemental,Female,Female_Base,Female,left,100.0,99.0,95.0,7,8.0,12.0,5.0,1,215,107,Female_Judgemental 02
Female_Judgemental 02,Judgemental,Female,Female_Base,Female,right,117.0,113.0,119.0,10,6.0,12.0,2.0,1,215,107,Female_Judgemental 02
Female_Judgemental 03,Judgemental,Female,Female_Base,Female,left,99.0,85.0,82.0,8,22.0,25.0,17.0,1,215,107,Female_Judgemental 03
Female_Judgemental 03,Judgemental,Female,Female_Base,Female,right,117.0,119.0,120.0,10,12.0,13.0,3.0,1,215,107,Female_Judgemental 03
Female_Judgemental 04,Judgemental,Female,Female_Base,Female,left,97.0,87.0,87.0,10,20.0,20.0,10.0,1,215,107,Female_Judgemental 04
Female_Judgemental 04,Judgemental,Female,Female_Base,Female,right,119.0,136.0,146.0,12,29.0,39.0,27.0,1,215,107,Female_Judgemental 04
Female_Judgemental 05,Judgemental,Female,Female_Base,Female,left,98.0,98.0,93.0,9,9.0,14.0,5.0,1,215,107,Female_Judgemental 05
Female_Judgemental 05,Judgemental,Female,Female_Base,Female,right,112.0,131.0,136.0,5,24.0,29.0,24.0,1,215,107,Female_Judgemental 05
Female_Nervous,Nervous,Female,Female_Base,Female,left,98.0,95.0,89.0,9,12.0,18.0,9.0,1,215,107,Female_Nervous
Female_Nervous,Nervous,Female,Female_Base,Female,right,118.0,118.0,120.0,11,11.0,13.0,2.0,1,215,107,Female_Nervous
Female_Pain 01,Pain,Female,Female_Base,Female,left,98.0,86.0,86.0,9,21.0,21.0,12.0,1,215,107,Female_Pain 01
Female_Pain 01,Pain,Female,Female_Base,Female,right,118.0,141.0,141.0,11,34.0,34.0,23.0,1,215,107,Female_Pain 01
Female_Pain 02,Pain,Female,Female_Base,Female,left,97.0,50.0,22.0,10,57.0,85.0,75.0,1,215,107,Female_Pain 02
Female_Pain 02,Pain,Female,Female_Base,Female,right,118.0,152.0,178.0,11,45.0,71.0,60.0,1,215,107,Female_Pain 02
Female_Pain 03,Pain,Female,Female_Base,Female,left,99.0,98.0,92.0,8,9.0,15.0,7.0,1,215,107,Female_Pain 03
Female_Pain 03,Pain,Female,Female_Base,Female,right,117.0,127.0,127.0,10,20.0,20.0,10.0,1,215,107,Female_Pain 03
Female_Pain 04,Pain,Female,Female_Base,Female,left,98.0,88.0,72.0,9,19.0,35.0,26.0,1,215,107,Female_Pain 04
Female_Pain 04,Pain,Female,Female_Base,Female,right,118.0,149.0,149.0,11,42.0,42.0,31.0,1,215,107,Female_Pain 04
Female_Pain 05,Pain,Female,Female_Base,Female,left,98.0,86.0,86.0,9,21.0,21.0,12.0,1,215,107,Female_Pain 05
Female_Pain 05,Pain,Female,Female_Base,Female,right,120.0,135.0,142.0,13,28.0,35.0,22.0,1,215,107,Female_Pain 05
Female_Pain Illness,Pain Illness,Female,Female_Base,Female,left,97.0,63.0,63.0,10,44.0,44.0,34.0,1,215,107,Female_Pain Illness
Female_Pain Illness,Pain Illness,Female,Female_Base,Female,right,110.0,156.0,163.0,3,49.0,56.0,53.0,1,215,107,Female_Pain Illness
Female_Playful 01,Playful,Female,Female_Base,Female,left,97.0,93.0,86.0,10,14.0,21.0,11.0,1,215,107,Female_Playful 01
Female_Playful 01,Playful,Female,Female_Base,Female,right,116.0,130.0,130.0,9,23.0,23.0,14.0,1,215,107,Female_Playful 01
Female_Playful 02,Playful,Female,Female_Base,Female,left,100.0,90.0,86.0,7,17.0,21.0,14.0,1,215,107,Female_Playful 02
Female_Playful 02,Playful,Female,Female_Base,Female,right,116.0,132.0,132.0,9,25.0,25.0,16.0,1,215,107,Female_Playful 02
Female_Playful 03,Playful,Female,Female_Base,Female,left,99.0,100.0,98.0,8,7.0,9.0,1.0,1,215,107,Female_Playful 03
Female_Playful 03,Playful,Female,Female_Base,Female,right,119.0,123.0,127.0,12,16.0,20.0,8.0,1,215,107,Female_Playful 03
Female_Playful 04,Playful,Female,Female_Base,Female,left,99.0,94.0,92.0,8,13.0,15.0,7.0,1,215,107,Female_Playful 04
Female_Playful 04,Playful,Female,Female_Base,Female,right,114.0,131.0,131.0,7,24.0,24.0,17.0,1,215,107,Female_Playful 04
Female_Playful 05,Playful,Female,Female_Base,Female,left,97.0,98.0,96.0,10,9.0,11.0,1.0,1,215,107,Female_Playful 05
Female_Playful 05,Playful,Female,Female_Base,Female,right,117.0,117.0,123.0,10,10.0,16.0,6.0,1,215,107,Female_Playful 05
Female_Pleasure Oo So Funny,Pleasure Oo So Funny,Female,Female_Base,Female,left,98.0,97.0,95.0,9,10.0,12.0,3.0,1,215,107,Female_Pleasure Oo So Funny
Female_Pleasure Oo So Funny,Pleasure Oo So Funny,Female,Female_Base,Female,right,113.0,117.0,118.0,6,10.0,11.0,5.0,1,215,107,Female_Pleasure Oo So Funny
Female_Romantic 01,Romantic,Female,Female_Base,Female,left,95.0,84.0,81.0,12,23.0,26.0,14.0,1,215,107,Female_Romantic 01
Female_Romantic 01,Romantic,Female,Female_Base,Female,right,118.0,125.0,141.0,11,18.0,34.0,23.0,1,215,107,Female_Romantic 01
Female_Romantic 02,Romantic,Female,Female_Base,Female,left,99.0,100.0,97.0,8,7.0,10.0,2.0,1,215,107,Female_Romantic 02
Female_Romantic 02,Romantic,Female,Female_Base,Female,right,117.0,115.0,117.0,10,8.0,10.0,0.0,0,215,107,Female_Romantic 02
Female_Romantic 03,Romantic,Female,Female_Base,Female,left,97.0,96.0,96.0,10,11.0,11.0,1.0,1,215,107,Female_Romantic 03
Female_Romantic 03,Romantic,Female,Female_Base,Female,right,117.0,135.0,137.0,10,28.0,30.0,20.0,1,215,107,Female_Romantic 03
Female_Romantic 04,Romantic,Female,Female_Base,Female,left,98.0,81.0,81.0,9,26.0,26.0,17.0,1,215,107,Female_Romantic 04
Female_Romantic 04,Romantic,Female,Female_Base,Female,right,118.0,127.0,131.0,11,20.0,24.0,13.0,1,215,107,Female_Romantic 04
Female_Romantic 05,Romantic,Female,Female_Base,Female,left,98.0,100.0,97.0,9,7.0,10.0,1.0,1,215,107,Female_Romantic 05
Female_Romantic 05,Romantic,Female,Female_Base,Female,right,116.0,114.0,116.0,9,7.0,9.0,0.0,0,215,107,Female_Romantic 05
Female_S Wink 02,S Wink,Female,Female_Base,Female,left,93.0,43.0,42.0,14,64.0,65.0,51.0,1,215,107,Female_S Wink 02
Female_S Wink 02,S Wink,Female,Female_Base,Female,right,120.0,170.0,170.0,13,63.0,63.0,50.0,1,215,107,Female_S Wink 02
Female_Sad 01,Sad,Female,Female_Base,Female,left,98.0,100.0,95.0,9,7.0,12.0,3.0,1,215,107,Female_Sad 01
Female_Sad 01,Sad,Female,Female_Base,Female,right,117.0,116.0,119.0,10,9.0,12.0,2.0,1,215,107,Female_Sad 01
Female_Sad 02,Sad,Female,Female_Base,Female,left,98.0,100.0,96.0,9,7.0,11.0,2.0,1,215,107,Female_Sad 02
Female_Sad 02,Sad,Female,Female_Base,Female,right,117.0,119.0,125.0,10,12.0,18.0,8.0,1,215,107,Female_Sad 02
Female_Sad 03,Sad,Female,Female_Base,Female,left,96.0,96.0,81.0,11,11.0,26.0,15.0,1,215,107,Female_Sad 03
Female_Sad 03,Sad,Female,Female_Base,Female,right,119.0,154.0,161.0,12,47.0,54.0,42.0,1,215,107,Female_Sad 03
Female_Sad 04,Sad,Female,Female_Base,Female,left,98.0,99.0,98.0,9,8.0,9.0,0.0,0,215,107,Female_Sad 04
Female_Sad 04,Sad,Female,Female_Base,Female,right,116.0,121.0,126.0,9,14.0,19.0,10.0,1,215,107,Female_Sad 04
Female_Sad 05,Sad,Female,Female_Base,Female,left,99.0,96.0,96.0,8,11.0,11.0,3.0,1,215,107,Female_Sad 05
Female_Sad 05,Sad,Female,Female_Base,Female,right,117.0,111.0,118.0,10,4.0,11.0,1.0,1,215,107,Female_Sad 05
Female_Scream,Scream,Female,Female_Base,Female,left,98.0,94.0,94.0,9,13.0,13.0,4.0,1,215,107,Female_Scream
Female_Scream,Scream,Female,Female_Base,Female,right,120.0,133.0,133.0,13,26.0,26.0,13.0,1,215,107,Female_Scream
Female_Seriousness 01,Seriousness,Female,Female_Base,Female,left,99.0,102.0,100.0,8,5.0,7.0,-1.0,0,215,107,Female_Seriousness 01
Female_Seriousness 01,Seriousness,Female,Female_Base,Female,right,117.0,111.0,115.0,10,4.0,8.0,-2.0,0,215,107,Female_Seriousness 01
Female_Seriousness 02,Seriousness,Female,Female_Base,Female,left,98.0,92.0,91.0,9,15.0,16.0,7.0,1,215,107,Female_Seriousness 02
Female_Seriousness 02,Seriousness,Female,Female_Base,Female,right,118.0,119.0,121.0,11,12.0,14.0,3.0,1,215,107,Female_Seriousness 02
Female_Seriousness 03,Seriousness,Female,Female_Base,Female,left,98.0,100.0,98.0,9,7.0,9.0,0.0,0,215,107,Female_Seriousness 03
Female_Seriousness 03,Seriousness,Female,Female_Base,Female,right,116.0,116.0,119.0,9,9.0,12.0,3.0,1,215,107,Female_Seriousness 03
Female_Seriousness 04,Seriousness,Female,Female_Base,Female,left,98.0,93.0,91.0,9,14.0,16.0,7.0,1,215,107,Female_Seriousness 04
Female_Seriousness 04,Seriousness,Female,Female_Base,Female,right,119.0,120.0,121.0,12,13.0,14.0,2.0,1,215,107,Female_Seriousness 04
Female_Seriousness 05,Seriousness,Female,Female_Base,Female,left,99.0,84.0,83.0,8,23.0,24.0,16.0,1,215,107,Female_Seriousness 05
Female_Seriousness 05,Seriousness,Female,Female_Base,Female,right,118.0,119.0,120.0,11,12.0,13.0,2.0,1,215,107,Female_Seriousness 05
Female_Silly 01,Silly,Female,Female_Base,Female,left,99.0,86.0,86.0,8,21.0,21.0,13.0,1,215,107,Female_Silly 01
Female_Silly 01,Silly,Female,Female_Base,Female,right,117.0,128.0,128.0,10,21.0,21.0,11.0,1,215,107,Female_Silly 01
Female_Silly 02,Silly,Female,Female_Base,Female,left,98.0,74.0,74.0,9,33.0,33.0,24.0,1,215,107,Female_Silly 02
Female_Silly 02,Silly,Female,Female_Base,Female,right,120.0,131.0,140.0,13,24.0,33.0,20.0,1,215,107,Female_Silly 02
Female_Silly 03,Silly,Female,Female_Base,Female,left,98.0,73.0,73.0,9,34.0,34.0,25.0,1,215,107,Female_Silly 03
Female_Silly 03,Silly,Female,Female_Base,Female,right,118.0,135.0,140.0,11,28.0,33.0,22.0,1,215,107,Female_Silly 03
Female_Silly 04,Silly,Female,Female_Base,Female,left,94.0,81.0,74.0,13,26.0,33.0,20.0,1,215,107,Female_Silly 04
Female_Silly 04,Silly,Female,Female_Base,Female,right,122.0,154.0,154.0,15,47.0,47.0,32.0,1,215,107,Female_Silly 04
Female_Silly 05,Silly,Female,Female_Base,Female,left,98.0,91.0,91.0,9,16.0,16.0,7.0,1,215,107,Female_Silly 05
Female_Silly 05,Silly,Female,Female_Base,Female,right,118.0,157.0,159.0,11,50.0,52.0,41.0,1,215,107,Female_Silly 05
Female_Sleepy,Sleepy,Female,Female_Base,Female,left,94.0,72.0,72.0,13,35.0,35.0,22.0,1,215,107,Female_Sleepy
Female_Sleepy,Sleepy,Female,Female_Base,Female,right,118.0,131.0,131.0,11,24.0,24.0,13.0,1,215,107,Female_Sleepy
Female_Sleepy 01,Sleepy,Female,Female_Base,Female,left,96.0,32.0,32.0,11,75.0,75.0,64.0,1,215,107,Female_Sleepy 01
Female_Sleepy 01,Sleepy,Female,Female_Base,Female,right,120.0,182.0,182.0,13,75.0,75.0,62.0,1,215,107,Female_Sleepy 01
Female_Sleepy 02,Sleepy,Female,Female_Base,Female,left,96.0,97.0,96.0,11,10.0,11.0,0.0,0,215,107,Female_Sleepy 02
Female_Sleepy 02,Sleepy,Female,Female_Base,Female,right,118.0,122.0,129.0,11,15.0,22.0,11.0,1,215,107,Female_Sleepy 02
Female_Sleepy 03,Sleepy,Female,Female_Base,Female,left,96.0,87.0,86.0,11,20.0,21.0,10.0,1,215,107,Female_Sleepy 03
Female_Sleepy 03,Sleepy,Female,Female_Base,Female,right,117.0,127.0,127.0,10,20.0,20.0,10.0,1,215,107,Female_Sleepy 03
Female_Sleepy 04,Sleepy,Female,Female_Base,Female,left,96.0,75.0,72.0,11,32.0,35.0,24.0,1,215,107,Female_Sleepy 04
Female_Sleepy 04,Sleepy,Female,Female_Base,Female,right,119.0,145.0,145.0,12,38.0,38.0,26.0,1,215,107,Female_Sleepy 04
Female_Sleepy 05,Sleepy,Female,Female_Base,Female,left,97.0,95.0,91.0,10,12.0,16.0,6.0,1,215,107,Female_Sleepy 05
Female_Sleepy 05,Sleepy,Female,Female_Base,Female,right,117.0,119.0,119.0,10,12.0,12.0,2.0,1,215,107,Female_Sleepy 05
Female_Subtle 01,Subtle,Female,Female_Base,Female,left,97.0,94.0,92.0,10,13.0,15.0,5.0,1,215,107,Female_Subtle 01
Female_Subtle 01,Subtle,Female,Female_Base,Female,right,118.0,119.0,120.0,11,12.0,13.0,2.0,1,215,107,Female_Subtle 01
Female_Subtle 02,Subtle,Female,Female_Base,Female,left,98.0,100.0,99.0,9,7.0,8.0,-1.0,0,215,107,Female_Subtle 02
Female_Subtle 02,Subtle,Female,Female_Base,Female,right,118.0,116.0,118.0,11,9.0,11.0,0.0,0,215,107,Female_Subtle 02
Female_Subtle 03,Subtle,Female,Female_Base,Female,left,98.0,101.0,98.0,9,6.0,9.0,0.0,0,215,107,Female_Subtle 03
Female_Subtle 03,Subtle,Female,Female_Base,Female,right,117.0,112.0,118.0,10,5.0,11.0,1.0,1,215,107,Female_Subtle 03
Female_Subtle 04,Subtle,Female,Female_Base,Female,left,100.0,100.0,99.0,7,7.0,8.0,1.0,1,215,107,Female_Subtle 04
Female_Subtle 04,Subtle,Female,Female_Base,Female,right,118.0,117.0,118.0,11,10.0,11.0,0.0,0,215,107,Female_Subtle 04
