identity,side,expression,n_sequences,n_valid_A_B,primary_eligible,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead,positive_lead_percent
Female,right,Terror Phobia,1,1,False,1.0,100.0,0.20654329147389294,1.0,19.0,19.0,100.0
Female,right,Ulgh,1,1,False,1.0,100.0,0.20654329147389294,1.0,60.0,60.0,100.0
Female,right,Wicked,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,15.0,12.0,80.0
Female,right,Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,20.0,20.0,100.0
Female,right,With Forehead Wrinkles Angry,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,11.0,10.0,80.0
Female,right,ZMouth Open Horizontal,1,1,False,1.0,100.0,0.20654329147389294,1.0,7.0,7.0,100.0
Female,right,ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Male,left,+10,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Male,left,+20,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Male,left,+20_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,31.0,31.0,100.0
Male,left,+30,1,1,False,1.0,100.0,0.20654329147389294,1.0,23.0,23.0,100.0
Male,left,+40,1,1,False,1.0,100.0,0.20654329147389294,1.0,7.0,7.0,100.0
Male,left,+50,1,1,False,1.0,100.0,0.20654329147389294,1.0,62.0,62.0,100.0
Male,left,+50_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,33.0,33.0,100.0
Male,left,-10,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Male,left,-10_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,left,-20,1,1,False,1.0,100.0,0.20654329147389294,1.0,18.0,18.0,100.0
Male,left,-20_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,54.0,54.0,100.0
Male,left,-30,1,1,False,0.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.0
Male,left,-40,1,1,False,1.0,100.0,0.20654329147389294,1.0,10.0,10.0,100.0
Male,left,-50,1,1,False,1.0,100.0,0.20654329147389294,1.0,67.0,67.0,100.0
Male,left,-60,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,left,0,1,1,False,1.0,100.0,0.20654329147389294,1.0,9.0,9.0,100.0
Male,left,Angry,5,5,True,1.0,100.0,0.5655085052479191,1.0,7.0,11.8,100.0
Male,left,Anguish,1,1,False,1.0,100.0,0.20654329147389294,1.0,3.0,3.0,100.0
Male,left,Animosity Growl,1,1,False,0.0,0.0,0.0,0.7934567085261071,-6.0,-6.0,0.0
Male,left,Animosity Rebellious,1,1,False,1.0,100.0,0.20654329147389294,1.0,38.0,38.0,100.0
Male,left,Bored,4,4,False,1.0,100.0,0.5100999795960008,1.0,3.0,3.0,100.0
Male,left,BreathTaking Over The Moon,1,1,False,0.0,0.0,0.0,0.7934567085261071,-2.0,-2.0,0.0
Male,left,Chewing,1,1,False,1.0,100.0,0.20654329147389294,1.0,4.0,4.0,100.0
Male,left,Choking,1,1,False,1.0,100.0,0.20654329147389294,1.0,15.0,15.0,100.0
Male,left,Coughing,1,1,False,0.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.0
Male,left,Crazed,1,1,False,1.0,100.0,0.20654329147389294,1.0,42.0,42.0,100.0
Male,left,Crying,1,1,False,1.0,100.0,0.20654329147389294,1.0,4.0,4.0,100.0
Male,left,Cute,5,5,True,1.0,100.0,0.5655085052479191,1.0,4.0,5.0,100.0
Male,left,Despise,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,5.0,8.4,80.0
Male,left,Determined,1,1,False,1.0,100.0,0.20654329147389294,1.0,2.0,2.0,100.0
Male,left,Distrust,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,1.0,3.4,80.0
Male,left,Empathy,5,5,True,1.0,100.0,0.5655085052479191,1.0,3.0,3.0,100.0
Male,left,Expressions Anger,5,5,True,1.0,100.0,0.5655085052479191,1.0,12.0,13.0,100.0
Male,left,Expressions Confusion,5,5,True,1.0,100.0,0.5655085052479191,1.0,10.0,10.8,100.0
Male,left,Expressions Contempt,5,5,True,1.0,100.0,0.5655085052479191,1.0,15.0,10.8,100.0
Male,left,Expressions Desire,5,5,True,1.0,100.0,0.5655085052479191,1.0,7.0,23.0,100.0
Male,left,Expressions Disgust,5,5,True,1.0,100.0,0.5655085052479191,1.0,8.0,18.8,100.0
Male,left,Expressions Excitement,5,5,True,1.0,100.0,0.5655085052479191,1.0,7.0,8.4,100.0
Male,left,Expressions Fear,5,5,True,1.0,100.0,0.5655085052479191,1.0,8.0,6.2,100.0
Male,left,Expressions Happiness,5,5,True,1.0,100.0,0.5655085052479191,1.0,17.0,18.8,100.0
Male,left,Expressions Sadness,5,5,True,1.0,100.0,0.5655085052479191,1.0,10.0,9.0,100.0
Male,left,Expressions Surprise,5,5,True,1.0,100.0,0.5655085052479191,1.0,15.0,20.2,100.0
Male,left,Eyeglasses,1,1,False,1.0,100.0,0.20654329147389294,1.0,95.0,95.0,100.0
Male,left,Fear,5,5,True,1.0,100.0,0.5655085052479191,1.0,14.0,14.2,100.0
Male,left,Fierce Cutthroat,1,1,False,1.0,100.0,0.20654329147389294,1.0,23.0,23.0,100.0
Male,left,Fierce Fiery,1,1,False,1.0,100.0,0.20654329147389294,1.0,14.0,14.0,100.0
Male,left,Fierce Savage,1,1,False,1.0,100.0,0.20654329147389294,1.0,3.0,3.0,100.0
Male,left,Happy,5,5,True,1.0,100.0,0.5655085052479191,1.0,9.0,16.6,100.0
Male,left,Happy Elated,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,left,Happy Perky,1,1,False,1.0,100.0,0.20654329147389294,1.0,21.0,21.0,100.0
Male,left,Happy So Peaceful,1,1,False,1.0,100.0,0.20654329147389294,1.0,56.0,56.0,100.0
Male,left,Humiliated,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Male,left,Insanity Deranged,1,1,False,1.0,100.0,0.20654329147389294,1.0,10.0,10.0,100.0
Male,left,Insanity Go Cucko,1,1,False,1.0,100.0,0.20654329147389294,1.0,26.0,26.0,100.0
Male,left,Insanity Going Crazy,1,1,False,1.0,100.0,0.20654329147389294,1.0,27.0,27.0,100.0
Male,left,Insanity Hostile,1,1,False,1.0,100.0,0.20654329147389294,1.0,19.0,19.0,100.0
Male,left,Insanity Lunatic,1,1,False,1.0,100.0,0.20654329147389294,1.0,3.0,3.0,100.0
Male,left,Joy,5,5,True,1.0,100.0,0.5655085052479191,1.0,23.0,28.0,100.0
Male,left,Judgemental,5,5,True,1.0,100.0,0.5655085052479191,1.0,8.0,6.8,100.0
Male,left,Nervous,1,1,False,1.0,100.0,0.20654329147389294,1.0,9.0,9.0,100.0
Male,left,Pain,5,5,True,1.0,100.0,0.5655085052479191,1.0,13.0,21.0,100.0
Male,left,Pain Illness,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,left,Playful,5,5,True,1.0,100.0,0.5655085052479191,1.0,5.0,6.0,100.0
Male,left,Pleasure Oo So Funny,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,left,Romantic,5,5,True,1.0,100.0,0.5655085052479191,1.0,4.0,4.0,100.0
Male,left,S Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,47.0,47.0,100.0
Male,left,Sad,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,11.0,10.0,80.0
Male,left,Scream,1,1,False,1.0,100.0,0.20654329147389294,1.0,2.0,2.0,100.0
Male,left,Seriousness,5,5,True,1.0,100.0,0.5655085052479191,1.0,9.0,7.2,100.0
Male,left,Silly,5,5,True,1.0,100.0,0.5655085052479191,1.0,15.0,18.6,100.0
Male,left,Sleepy,6,6,True,1.0,100.0,0.6096569663469354,0.9999999999999999,8.0,22.833333333333332,100.0
Male,left,Straining,1,1,False,1.0,100.0,0.20654329147389294,1.0,6.0,6.0,100.0
Male,left,Subtle,5,5,True,1.0,100.0,0.5655085052479191,1.0,2.0,2.6,100.0
Male,left,Talking,5,5,True,1.0,100.0,0.5655085052479191,1.0,5.0,5.2,100.0
Male,left,Terror,1,1,False,1.0,100.0,0.20654329147389294,1.0,19.0,19.0,100.0
Male,left,Terror Phobia,1,1,False,1.0,100.0,0.20654329147389294,1.0,8.0,8.0,100.0
Male,left,Ulgh,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Male,left,Wicked,5,5,True,1.0,100.0,0.5655085052479191,1.0,12.0,15.2,100.0
Male,left,Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,63.0,63.0,100.0
Male,left,With Forehead Wrinkles Angry,5,5,True,1.0,100.0,0.5655085052479191,1.0,10.0,11.8,100.0
Male,left,ZMouth Open Horizontal,1,1,False,1.0,100.0,0.20654329147389294,1.0,7.0,7.0,100.0
Male,left,ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,24.0,24.0,100.0
Male,left,ZZ_Bearded,1,1,False,1.0,100.0,0.20654329147389294,1.0,26.0,26.0,100.0
Male,left,ZZ_Cavalier,1,1,False,1.0,100.0,0.20654329147389294,1.0,51.0,51.0,100.0
Male,left,ZZ_Dapper,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,left,ZZ_Flynn,1,1,False,1.0,100.0,0.20654329147389294,1.0,15.0,15.0,100.0
Male,left,ZZ_Franz Josef,1,1,False,1.0,100.0,0.20654329147389294,1.0,7.0,7.0,100.0
Male,left,ZZ_Friendly Mutton Chops,1,1,False,1.0,100.0,0.20654329147389294,1.0,28.0,28.0,100.0
Male,left,ZZ_Fu Manchu,1,1,False,1.0,100.0,0.20654329147389294,1.0,9.0,9.0,100.0
Male,left,ZZ_Fu Manchu Goatee,1,1,False,1.0,100.0,0.20654329147389294,1.0,16.0,16.0,100.0
Male,left,ZZ_Full Beard,1,1,False,1.0,100.0,0.20654329147389294,1.0,6.0,6.0,100.0
Male,left,ZZ_Goatee,1,1,False,1.0,100.0,0.20654329147389294,1.0,16.0,16.0,100.0
Male,left,ZZ_Grizzly Beard,1,0,False,,,,,,,
Male,left,ZZ_Mutton Chops,1,1,False,1.0,100.0,0.20654329147389294,1.0,20.0,20.0,100.0
Male,left,ZZ_Napoleon III,1,1,False,1.0,100.0,0.20654329147389294,1.0,51.0,51.0,100.0
Male,left,ZZ_Officer,1,1,False,1.0,100.0,0.20654329147389294,1.0,15.0,15.0,100.0
Male,left,ZZ_Pioneer,1,1,False,1.0,100.0,0.20654329147389294,1.0,39.0,39.0,100.0
Male,left,ZZ_Stubbled,1,1,False,1.0,100.0,0.20654329147389294,1.0,17.0,17.0,100.0
Male,right,+10,1,1,False,1.0,100.0,0.20654329147389294,1.0,15.0,15.0,100.0
Male,right,+20,1,1,False,1.0,100.0,0.20654329147389294,1.0,15.0,15.0,100.0
