identity,side,expression,n_sequences,n_valid_A_B,primary_eligible,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead,positive_lead_percent
Male,right,Playful,5,5,True,1.0,100.0,0.5655085052479191,1.0,7.0,8.6,100.0
Male,right,Pleasure Oo So Funny,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Male,right,Romantic,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,3.0,2.4,80.0
Male,right,S Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,21.0,21.0,100.0
Male,right,Sad,5,5,True,1.0,100.0,0.5655085052479191,1.0,1.0,7.4,100.0
Male,right,Scream,1,1,False,1.0,100.0,0.20654329147389294,1.0,14.0,14.0,100.0
Male,right,Seriousness,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,3.0,2.2,60.0
Male,right,Silly,5,5,True,1.0,100.0,0.5655085052479191,1.0,10.0,26.2,100.0
Male,right,Sleepy,6,6,True,1.0,100.0,0.6096569663469354,0.9999999999999999,14.0,21.0,100.0
Male,right,Straining,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Male,right,Subtle,5,5,True,1.0,100.0,0.5655085052479191,1.0,2.0,1.8,100.0
Male,right,Talking,5,5,True,1.0,100.0,0.5655085052479191,1.0,7.0,7.8,100.0
Male,right,Terror,1,1,False,1.0,100.0,0.20654329147389294,1.0,24.0,24.0,100.0
Male,right,Terror Phobia,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Male,right,Ulgh,1,1,False,1.0,100.0,0.20654329147389294,1.0,9.0,9.0,100.0
Male,right,Wicked,5,5,True,1.0,100.0,0.5655085052479191,1.0,21.0,15.6,100.0
Male,right,Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,9.0,9.0,100.0
Male,right,With Forehead Wrinkles Angry,5,5,True,1.0,100.0,0.5655085052479191,1.0,7.0,11.8,100.0
Male,right,ZMouth Open Horizontal,1,1,False,1.0,100.0,0.20654329147389294,1.0,5.0,5.0,100.0
Male,right,ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,18.0,18.0,100.0
Male,right,ZZ_Bearded,1,1,False,1.0,100.0,0.20654329147389294,1.0,15.0,15.0,100.0
Male,right,ZZ_Cavalier,1,1,False,1.0,100.0,0.20654329147389294,1.0,48.0,48.0,100.0
Male,right,ZZ_Dapper,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,right,ZZ_Flynn,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Male,right,ZZ_Franz Josef,1,1,False,1.0,100.0,0.20654329147389294,1.0,5.0,5.0,100.0
Male,right,ZZ_Friendly Mutton Chops,1,1,False,1.0,100.0,0.20654329147389294,1.0,17.0,17.0,100.0
Male,right,ZZ_Fu Manchu,1,1,False,1.0,100.0,0.20654329147389294,1.0,5.0,5.0,100.0
Male,right,ZZ_Fu Manchu Goatee,1,1,False,1.0,100.0,0.20654329147389294,1.0,20.0,20.0,100.0
Male,right,ZZ_Full Beard,1,1,False,1.0,100.0,0.20654329147389294,1.0,5.0,5.0,100.0
Male,right,ZZ_Goatee,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Male,right,ZZ_Grizzly Beard,1,0,False,,,,,,,
Male,right,ZZ_Mutton Chops,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Male,right,ZZ_Napoleon III,1,1,False,1.0,100.0,0.20654329147389294,1.0,68.0,68.0,100.0
Male,right,ZZ_Officer,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Male,right,ZZ_Pioneer,1,1,False,1.0,100.0,0.20654329147389294,1.0,37.0,37.0,100.0
Male,right,ZZ_Stubbled,1,1,False,1.0,100.0,0.20654329147389294,1.0,63.0,63.0,100.0
