model,median_auc,ci_2_5,ci_97_5,n_bootstrap
viewpoint_only,0.8909104132892078,0.8759839654630641,0.9057876914619245,1000
A_only,0.9218881674833288,0.9087919009122375,0.9337135023921433,1000
C_only,1.0,1.0,1.0,1000
A_plus_viewpoint,0.923878263118767,0.9102761647552803,0.9352380536934,1000
C_plus_viewpoint,0.9999473264003746,0.9998748881939817,0.9999773708742593,1000
A_plus_C,0.9999152056223011,0.9998489662398623,0.9999523282963336,1000
A_plus_C_plus_viewpoint,0.9999152526298131,0.9998436573659307,0.9999530492443194,1000
A_trajectory,0.9347273121850697,0.9246969983613201,0.9447834839191365,1000
