side,observed_A_before_B,null_mean,null_2_5,p_permutation
left,0.9507042253521126,0.9172007042253522,0.8990610328638498,0.0004997501249375312
right,0.8967136150234741,0.8604307511737089,0.8403755868544601,0.0014992503748125937
