expression,folder,A_left,C_left,B_left,A_right,C_right,B_right
Insanity Go Cucko,Male_Insanity Go Cucko,103.0,84.0,77.0,108.0,124.0,125.0
Insanity Going Crazy,Male_Insanity Going Crazy,97.0,71.0,70.0,112.0,146.0,146.0
Insanity Hostile,Male_Insanity Hostile,100.0,82.0,81.0,110.0,141.0,145.0
Insanity Lunatic,Male_Insanity Lunatic,101.0,101.0,98.0,108.0,143.0,148.0
Joy,Male_Joy 01,102.0,96.0,95.0,113.0,117.0,119.0
Joy,Male_Joy 02,103.0,86.0,75.0,113.0,127.0,128.0
Joy,Male_Joy 03,97.0,21.0,21.0,117.0,153.0,155.0
Joy,Male_Joy 04,100.0,95.0,94.0,116.0,121.0,121.0
Joy,Male_Joy 05,99.0,86.0,76.0,117.0,121.0,122.0
Judgemental,Male_Judgemental 01,98.0,96.0,96.0,117.0,124.0,127.0
Judgemental,Male_Judgemental 02,100.0,91.0,89.0,114.0,112.0,114.0
Judgemental,Male_Judgemental 03,100.0,91.0,91.0,115.0,126.0,127.0
Judgemental,Male_Judgemental 04,101.0,98.0,97.0,114.0,121.0,124.0
Judgemental,Male_Judgemental 05,99.0,99.0,91.0,117.0,134.0,134.0
Nervous,Male_Nervous,101.0,94.0,92.0,115.0,119.0,119.0
Pain,Male_Pain 01,100.0,91.0,91.0,113.0,129.0,129.0
Pain,Male_Pain 02,105.0,62.0,62.0,110.0,136.0,150.0
Pain,Male_Pain 03,100.0,95.0,93.0,114.0,120.0,120.0
Pain,Male_Pain 04,100.0,67.0,67.0,114.0,139.0,140.0
Pain,Male_Pain 05,100.0,87.0,87.0,117.0,127.0,127.0
Pain Illness,Male_Pain Illness,100.0,88.0,88.0,108.0,152.0,152.0
Playful,Male_Playful 01,99.0,98.0,96.0,114.0,117.0,117.0
Playful,Male_Playful 02,101.0,92.0,92.0,113.0,130.0,137.0
Playful,Male_Playful 03,101.0,96.0,96.0,113.0,117.0,120.0
Playful,Male_Playful 04,102.0,95.0,94.0,113.0,119.0,120.0
Playful,Male_Playful 05,101.0,97.0,96.0,114.0,114.0,116.0
Pleasure Oo So Funny,Male_Pleasure Oo So Funny,101.0,102.0,89.0,108.0,117.0,121.0
Romantic,Male_Romantic 01,98.0,95.0,94.0,116.0,120.0,121.0
Romantic,Male_Romantic 02,101.0,101.0,99.0,114.0,112.0,113.0
Romantic,Male_Romantic 03,100.0,101.0,99.0,114.0,116.0,116.0
Romantic,Male_Romantic 04,101.0,95.0,94.0,114.0,114.0,117.0
Romantic,Male_Romantic 05,101.0,98.0,95.0,114.0,115.0,117.0
S Wink,Male_S Wink 02,97.0,53.0,50.0,117.0,138.0,138.0
Sad,Male_Sad 01,100.0,95.0,89.0,114.0,116.0,118.0
Sad,Male_Sad 02,100.0,95.0,89.0,114.0,113.0,115.0
Sad,Male_Sad 03,99.0,87.0,74.0,116.0,146.0,146.0
Sad,Male_Sad 04,100.0,102.0,100.0,117.0,118.0,118.0
Sad,Male_Sad 05,100.0,101.0,97.0,114.0,113.0,115.0
Scream,Male_Scream,101.0,99.0,99.0,113.0,125.0,127.0
Seriousness,Male_Seriousness 01,101.0,102.0,100.0,114.0,111.0,113.0
Seriousness,Male_Seriousness 02,102.0,90.0,90.0,114.0,109.0,117.0
Seriousness,Male_Seriousness 03,100.0,101.0,98.0,114.0,112.0,114.0
Seriousness,Male_Seriousness 04,101.0,96.0,92.0,114.0,107.0,119.0
Seriousness,Male_Seriousness 05,102.0,96.0,90.0,113.0,114.0,117.0
Silly,Male_Silly 01,101.0,94.0,93.0,114.0,116.0,117.0
Silly,Male_Silly 02,101.0,78.0,73.0,115.0,165.0,195.0
Silly,Male_Silly 03,100.0,81.0,71.0,116.0,126.0,126.0
Silly,Male_Silly 04,98.0,88.0,85.0,116.0,153.0,153.0
Silly,Male_Silly 05,101.0,86.0,86.0,114.0,115.0,115.0
Sleepy,Male_Sleepy,101.0,67.0,67.0,113.0,131.0,134.0
Sleepy,Male_Sleepy 01,102.0,55.0,27.0,116.0,186.0,189.0
Sleepy,Male_Sleepy 02,99.0,96.0,94.0,116.0,114.0,117.0
Sleepy,Male_Sleepy 03,100.0,93.0,92.0,115.0,118.0,123.0
Sleepy,Male_Sleepy 04,99.0,93.0,91.0,115.0,128.0,135.0
Sleepy,Male_Sleepy 05,101.0,98.0,94.0,114.0,116.0,117.0
Straining,Male_Straining,101.0,102.0,95.0,108.0,119.0,119.0
Subtle,Male_Subtle 01,100.0,100.0,98.0,115.0,116.0,116.0
Subtle,Male_Subtle 02,100.0,107.0,97.0,114.0,109.0,116.0
Subtle,Male_Subtle 03,100.0,100.0,98.0,114.0,109.0,117.0
Subtle,Male_Subtle 04,101.0,104.0,100.0,113.0,114.0,115.0
Subtle,Male_Subtle 05,100.0,98.0,95.0,116.0,117.0,117.0
Talking,Male_Talking 01,100.0,99.0,94.0,116.0,123.0,123.0
Talking,Male_Talking 02,100.0,94.0,94.0,115.0,121.0,123.0
Talking,Male_Talking 03,102.0,97.0,97.0,112.0,118.0,118.0
Talking,Male_Talking 04,101.0,98.0,96.0,117.0,128.0,131.0
Talking,Male_Talking 05,101.0,98.0,97.0,115.0,119.0,119.0
Terror,Male_Terror,103.0,86.0,84.0,112.0,136.0,136.0
Terror Phobia,Male_Terror Phobia,100.0,92.0,92.0,111.0,124.0,124.0
Ulgh,Male_Ulgh,102.0,89.0,89.0,114.0,123.0,123.0
Wicked,Male_Wicked 01,101.0,91.0,89.0,114.0,132.0,135.0
Wicked,Male_Wicked 02,101.0,94.0,92.0,113.0,137.0,140.0
Wicked,Male_Wicked 03,102.0,84.0,70.0,113.0,135.0,136.0
Wicked,Male_Wicked 04,102.0,93.0,90.0,114.0,115.0,118.0
Wicked,Male_Wicked 05,102.0,91.0,91.0,114.0,116.0,117.0
Wink,Male_Wink,100.0,37.0,37.0,116.0,123.0,125.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 01,102.0,107.0,100.0,114.0,110.0,118.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 02,101.0,101.0,92.0,115.0,117.0,122.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 03,101.0,95.0,90.0,114.0,122.0,122.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 04,100.0,95.0,90.0,114.0,121.0,121.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 05,100.0,100.0,73.0,114.0,147.0,147.0
ZMouth Open Horizontal,Male_ZMouth Open Horizontal,101.0,95.0,94.0,116.0,120.0,121.0
ZMouth Open Horizontal And Vertical,Male_ZMouth Open Horizontal And Vertical,96.0,75.0,72.0,116.0,130.0,134.0
ZZ_Bearded,Male_ZZ_Bearded,102.0,93.0,76.0,113.0,128.0,128.0
ZZ_Cavalier,Male_ZZ_Cavalier,101.0,77.0,50.0,115.0,143.0,163.0
ZZ_Dapper,Male_ZZ_Dapper,101.0,89.0,89.0,114.0,125.0,126.0
ZZ_Flynn,Male_ZZ_Flynn,101.0,86.0,86.0,115.0,124.0,126.0
ZZ_Franz Josef,Male_ZZ_Franz Josef,101.0,97.0,94.0,113.0,115.0,118.0
ZZ_Friendly Mutton Chops,Male_ZZ_Friendly Mutton Chops,101.0,81.0,73.0,113.0,129.0,130.0
ZZ_Fu Manchu,Male_ZZ_Fu Manchu,101.0,92.0,92.0,115.0,120.0,120.0
ZZ_Fu Manchu Goatee,Male_ZZ_Fu Manchu Goatee,101.0,86.0,85.0,114.0,134.0,134.0
ZZ_Full Beard,Male_ZZ_Full Beard,99.0,94.0,93.0,116.0,119.0,121.0
ZZ_Goatee,Male_ZZ_Goatee,101.0,85.0,85.0,114.0,123.0,125.0
ZZ_Grizzly Beard,Male_ZZ_Grizzly Beard,99.0,,,116.0,,
ZZ_Mutton Chops,Male_ZZ_Mutton Chops,102.0,95.0,82.0,113.0,121.0,125.0
ZZ_Napoleon III,Male_ZZ_Napoleon III,101.0,51.0,50.0,114.0,182.0,182.0
ZZ_Officer,Male_ZZ_Officer,101.0,87.0,86.0,114.0,124.0,125.0
ZZ_Pioneer,Male_ZZ_Pioneer,101.0,87.0,62.0,113.0,150.0,150.0
ZZ_Stubbled,Male_ZZ_Stubbled,102.0,86.0,85.0,114.0,176.0,177.0
