expression,folder,A_left,C_left,B_left,A_right,C_right,B_right
Expressions Disgust,Female_Expressions Disgust 02,98.0,70.0,70.0,126.0,138.0,138.0
Expressions Disgust,Female_Expressions Disgust 03,97.0,95.0,93.0,126.0,124.0,125.0
Expressions Disgust,Female_Expressions Disgust 04,100.0,85.0,82.0,123.0,140.0,146.0
Expressions Disgust,Female_Expressions Disgust 05,97.0,94.0,94.0,125.0,124.0,130.0
Expressions Excitement,Female_Expressions Excitement 01,97.0,87.0,81.0,129.0,128.0,131.0
Expressions Excitement,Female_Expressions Excitement 02,98.0,87.0,82.0,129.0,152.0,152.0
Expressions Excitement,Female_Expressions Excitement 03,97.0,98.0,95.0,127.0,123.0,124.0
Expressions Excitement,Female_Expressions Excitement 04,96.0,72.0,70.0,129.0,121.0,127.0
Expressions Excitement,Female_Expressions Excitement 05,98.0,92.0,91.0,129.0,120.0,125.0
Expressions Fear,Female_Expressions Fear 01,97.0,94.0,88.0,128.0,127.0,131.0
Expressions Fear,Female_Expressions Fear 02,96.0,88.0,81.0,130.0,136.0,138.0
Expressions Fear,Female_Expressions Fear 03,98.0,92.0,86.0,127.0,120.0,126.0
Expressions Fear,Female_Expressions Fear 04,98.0,97.0,96.0,127.0,121.0,126.0
Expressions Fear,Female_Expressions Fear 05,97.0,97.0,95.0,128.0,124.0,128.0
Expressions Happiness,Female_Expressions Happiness 01,98.0,83.0,81.0,127.0,125.0,126.0
Expressions Happiness,Female_Expressions Happiness 02,98.0,93.0,85.0,127.0,126.0,131.0
Expressions Happiness,Female_Expressions Happiness 03,97.0,96.0,83.0,130.0,130.0,130.0
Expressions Happiness,Female_Expressions Happiness 04,97.0,82.0,81.0,129.0,126.0,137.0
Expressions Happiness,Female_Expressions Happiness 05,97.0,80.0,78.0,129.0,130.0,132.0
Expressions Sadness,Female_Expressions Sadness 01,98.0,94.0,85.0,127.0,120.0,125.0
Expressions Sadness,Female_Expressions Sadness 02,96.0,57.0,57.0,128.0,146.0,153.0
