side,n,A_before_B,A_before_C,C_before_B,median_A_distance,median_C_distance,median_B_distance,median_A_B_lead
left,426,0.9507042253521126,0.7981220657276995,0.7206572769953051,7.5,15.0,18.0,10.5
right,426,0.8967136150234741,0.7887323943661971,0.6995305164319249,8.0,17.0,20.0,10.0
