n,positive,negative,auc,ap,brier,accuracy,balanced_accuracy,precision,recall,f1,gender,model
43870,32414,11456,0.8998016571482838,0.9547863986291801,0.13386823566465408,0.7948028265329382,0.8061962625079583,0.9286969896725994,0.7823471339544641,0.8492632283991962,female,viewpoint_only
43870,32414,11456,0.9997655781150845,0.9999179269916416,0.013834423509304491,0.9801002963300661,0.9865335965940643,1.0,0.9730671931881286,0.9863497771870847,female,A_plus_C_plus_viewpoint
47508,37563,9945,0.8808134688340648,0.9579104631485287,0.14821342019279454,0.7671760545592321,0.7861923953680391,0.9401740632474089,0.7534808188909299,0.8365377510455614,male,viewpoint_only
47508,37563,9945,0.9997773581174643,0.9999413901279286,0.013078165956184261,0.9795613370379725,0.9870750472539467,1.0,0.9741500945078934,0.9869058054075922,male,A_plus_C_plus_viewpoint
