identity,side,horizon,warning_count,n,warning_rate,warning_rate_percent,ci_low,ci_high
Female,left,1,9,205,0.0439024390243902,4.390243902439024,0.0232662189616431,0.0813183082589872
Female,left,2,23,205,0.1121951219512195,11.219512195121952,0.0759334837540648,0.1627239484816583
Female,left,3,28,205,0.1365853658536585,13.658536585365855,0.096217316123192,0.1903232964750642
Female,left,5,44,205,0.2146341463414634,21.463414634146343,0.1639521964100193,0.2758145933483429
Female,left,7,59,205,0.2878048780487804,28.78048780487805,0.2301803038157043,0.3532360270302573
Female,left,10,79,205,0.3853658536585366,38.53658536585366,0.3214334686842471,0.4535155836118471
Female,left,15,124,205,0.6048780487804878,60.48780487804878,0.5366156589650012,0.6692820165938912
Female,left,20,146,205,0.7121951219512195,71.21951219512195,0.6467639729697426,0.7698196961842957
Female,left,25,157,205,0.7658536585365854,76.58536585365854,0.7033221585920388,0.8186045073595725
Female,left,30,164,205,0.8,80.0,0.7399506358976935,0.8490124825614642
Female,left,40,172,205,0.8390243902439024,83.90243902439025,0.7825552595822535,0.8830209474569571
Female,left,50,173,205,0.8439024390243902,84.39024390243902,0.787945923852421,0.8872069192592961
Female,right,1,7,205,0.0341463414634146,3.414634146341464,0.0166368998648667,0.0687943552107503
Female,right,2,21,205,0.1024390243902439,10.24390243902439,0.0679813261127522,0.1515228339779576
Female,right,3,28,205,0.1365853658536585,13.658536585365855,0.096217316123192,0.1903232964750642
Female,right,5,36,205,0.1756097560975609,17.560975609756095,0.1296284182627377,0.2335252829155715
Female,right,7,41,205,0.2,20.0,0.1509875174385358,0.2600493641023066
Female,right,10,64,205,0.3121951219512195,31.21951219512195,0.2527066218739969,0.3785928893344978
Female,right,15,93,205,0.4536585365853658,45.36585365853659,0.3869837701653099,0.5220381871458771
Female,right,20,119,205,0.5804878048780487,58.04878048780488,0.5120615540367282,0.6459529411596312
Female,right,25,138,205,0.6731707317073171,67.31707317073172,0.6062889602711149,0.7336816203028705
Female,right,30,146,205,0.7121951219512195,71.21951219512195,0.6467639729697426,0.7698196961842957
Female,right,40,152,205,0.7414634146341463,74.14634146341463,0.6774740489544537,0.7965694366346243
Female,right,50,157,205,0.7658536585365854,76.58536585365854,0.7033221585920388,0.8186045073595725
Male,left,1,9,221,0.0407239819004524,4.072398190045249,0.0215702824642291,0.0755718833983158
Male,left,2,21,221,0.0950226244343891,9.502262443438914,0.0629914707693233,0.140892507996172
Male,left,3,36,221,0.1628959276018099,16.289592760180994,0.1200448310224655,0.2172664138717178
Male,left,5,60,221,0.2714932126696832,27.149321266968325,0.217134641739025,0.333660228961059
Male,left,7,81,221,0.3665158371040724,36.65158371040724,0.3057709887017852,0.4318220545784619
Male,left,10,114,221,0.5158371040723982,51.58371040723983,0.450242403916853,0.5808906248465077
Male,left,15,155,221,0.7013574660633484,70.13574660633483,0.6379959424279305,0.7578382804205104
Male,left,20,169,221,0.7647058823529411,76.47058823529412,0.7045529825307623,0.8158133553711205
Male,left,25,179,221,0.8099547511312217,80.99547511312217,0.7531028320704074,0.8562150165839342
Male,left,30,189,221,0.8552036199095022,85.52036199095022,0.8027388388193673,0.8955305205874329
Male,left,40,197,221,0.8914027149321267,89.14027149321268,0.8435000603885077,0.9259305076202596
Male,left,50,201,221,0.9095022624434388,90.9502262443439,0.8643578436834154,0.9406533286263352
Male,right,1,14,221,0.0633484162895927,6.334841628959276,0.0381064718596082,0.103511449379166
Male,right,2,30,221,0.1357466063348416,13.574660633484164,0.0967680633054262,0.1871722751372818
Male,right,3,42,221,0.1900452488687782,19.004524886877828,0.1437849834160658,0.2468971679295926
Male,right,5,65,221,0.2941176470588235,29.411764705882355,0.2379729281412302,0.357297697935083
Male,right,7,91,221,0.4117647058823529,41.17647058823529,0.3489239799553942,0.4776205740773115
Male,right,10,116,221,0.5248868778280543,52.48868778280544,0.4591849456897505,0.5897383852241018
Male,right,15,145,221,0.6561085972850679,65.61085972850678,0.5912948643207111,0.7155878477752712
Male,right,20,162,221,0.7330316742081447,73.30316742081448,0.6710891134475266,0.7870111669276353
Male,right,25,171,221,0.7737556561085973,77.37556561085974,0.7141885959325073,0.8239680441198675
Male,right,30,175,221,0.7918552036199095,79.18552036199095,0.7335679861735154,0.8401692581798428
Male,right,40,187,221,0.8461538461538461,84.61538461538461,0.7927088339221602,0.8877702233341482
Male,right,50,193,221,0.8733031674208145,87.33031674208145,0.8229802902185054,0.9108696734892784
