identity,side,A_before_B_rate,median_lead_deg,mean_lead_deg
Female,left,0.9365853658536586,12.0,15.93658536585366
Female,right,0.8536585365853658,12.0,16.28780487804878
Male,left,0.9683257918552036,9.0,14.39366515837104
Male,right,0.9366515837104072,8.0,14.515837104072398
