gender,side,n_A_B,A_before_B_rate,mean_B_minus_A_deg,median_B_minus_A_deg,n_C_B,C_before_B_rate,mean_B_minus_C_deg,median_B_minus_C_deg
Female,left,205,0.9365853658536586,15.93658536585366,12.0,205,0.7317073170731707,3.7560975609756095,2.0
Female,right,205,0.8536585365853658,16.28780487804878,12.0,205,0.7024390243902439,3.3804878048780487,2.0
Male,left,221,0.9683257918552036,14.39366515837104,9.0,221,0.7104072398190046,3.334841628959276,2.0
Male,right,221,0.9366515837104072,14.515837104072398,8.0,221,0.6968325791855203,2.524886877828054,1.0
