identity,side,baseline_A_before_B,median_lead,fraction_expression_A_before_B_ge_80,fraction_expression_A_before_B_ge_70,fraction_expression_positive_median_lead,overall_identity_robustness_score
Female,left,0.9365853658536586,12.0,0.9629629629629628,0.9629629629629628,1.0,0.965627822944896
Female,right,0.8536585365853658,12.0,0.8888888888888888,0.8888888888888888,0.9629629629629628,0.8985998193315266
Male,left,0.9683257918552036,9.0,0.9587628865979382,0.9587628865979382,0.9587628865979382,0.9611536129122544
Male,right,0.9366515837104072,8.0,0.9587628865979382,0.9690721649484536,1.0,0.9661216588141998
