side,n_complete,median_A,median_C,median_B,median_A_C_gap,median_C_B_gap,median_A_B_gap,A_before_C,C_before_B,A_before_B,A_C_B,B_C_A
left,426,99.5,92.0,89.0,7.0,2.0,10.5,0.13615023474178403,0.0,0.023474178403755867,0.0,0.5305164319248826
right,426,115.0,124.0,127.0,8.0,1.0,10.0,0.7887323943661971,0.6995305164319249,0.8967136150234741,0.5023474178403756,0.0
