folder,expression,A_left,C_left,B_left,A_left_detected,C_left_detected,B_left_detected,ordering_left,A_to_C_gap_left,C_to_B_gap_left,A_to_B_gap_left,A_reason_left,C_reason_left,B_reason_left,A_right,C_right,B_right,A_right_detected,C_right_detected,B_right_detected,ordering_right,A_to_C_gap_right,C_to_B_gap_right,A_to_B_gap_right,A_reason_right,C_reason_right,B_reason_right
Female_-50,-50,99.0,89.0,89.0,True,True,True,C=B<A,10.0,0.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,123.0,123.0,True,True,True,A<C=B,11.0,0.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_-60,-60,102.0,83.0,83.0,True,True,True,C=B<A,19.0,0.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,131.0,131.0,True,True,True,A<C=B,19.0,0.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_0,0,98.0,77.0,77.0,True,True,True,C=B<A,21.0,0.0,21.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,138.0,138.0,True,True,True,A<C=B,26.0,0.0,26.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Angry 01,Angry,100.0,89.0,77.0,True,True,True,B<C<A,11.0,12.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,119.0,152.0,True,True,True,A<C<B,2.0,33.0,35.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Angry 02,Angry,96.0,101.0,38.0,True,True,True,B<A<C,5.0,63.0,58.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,120.0,135.0,136.0,True,True,True,A<C<B,15.0,1.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Angry 03,Angry,98.0,87.0,86.0,True,True,True,B<C<A,11.0,1.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,129.0,129.0,True,True,True,A<C=B,12.0,0.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Angry 04,Angry,99.0,94.0,93.0,True,True,True,B<C<A,5.0,1.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,121.0,126.0,True,True,True,A<C<B,7.0,5.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Angry 05,Angry,94.0,78.0,77.0,True,True,True,B<C<A,16.0,1.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,128.0,129.0,True,True,True,A<C<B,9.0,1.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Anguish,Anguish,100.0,96.0,95.0,True,True,True,B<C<A,4.0,1.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,119.0,135.0,True,True,True,A<C<B,5.0,16.0,21.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Animosity Growl,Animosity Growl,101.0,46.0,44.0,True,True,True,B<C<A,55.0,2.0,57.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,111.0,171.0,171.0,True,True,True,A<C=B,60.0,0.0,60.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Animosity Rebellious,Animosity Rebellious,100.0,82.0,78.0,True,True,True,B<C<A,18.0,4.0,22.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,136.0,136.0,True,True,True,A<C=B,23.0,0.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Bored 01,Bored,100.0,95.0,94.0,True,True,True,B<C<A,5.0,1.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,132.0,136.0,True,True,True,A<C<B,19.0,4.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Bored 02,Bored,99.0,94.0,94.0,True,True,True,C=B<A,5.0,0.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,121.0,138.0,True,True,True,A<C<B,6.0,17.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Bored 03,Bored,99.0,101.0,98.0,True,True,True,B<A<C,2.0,3.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,115.0,117.0,True,True,True,C<B<A,3.0,2.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Bored 04,Bored,97.0,87.0,86.0,True,True,True,B<C<A,10.0,1.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,130.0,138.0,True,True,True,A<C<B,11.0,8.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Bored 05,Bored,98.0,98.0,94.0,True,True,True,B<A=C,0.0,4.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,118.0,120.0,True,True,True,A=C<B,0.0,2.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_BreathTaking Over The Moon,BreathTaking Over The Moon,98.0,49.0,43.0,True,True,True,B<C<A,49.0,6.0,55.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,171.0,193.0,True,True,True,A<C<B,59.0,22.0,81.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Chewing,Chewing,99.0,93.0,91.0,True,True,True,B<C<A,6.0,2.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,133.0,133.0,True,True,True,A<C=B,17.0,0.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Choking,Choking,97.0,91.0,84.0,True,True,True,B<C<A,6.0,7.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,124.0,124.0,True,True,True,A<C=B,7.0,0.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Coughing,Coughing,96.0,42.0,42.0,True,True,True,C=B<A,54.0,0.0,54.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,172.0,172.0,True,True,True,A<C=B,55.0,0.0,55.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Crazed,Crazed,98.0,76.0,76.0,True,True,True,C=B<A,22.0,0.0,22.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,166.0,166.0,True,True,True,A<C=B,51.0,0.0,51.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
