folder,expression,direction,A_boundary,B_boundary,lead_deg
Female_Subtle 01,Subtle,left,0.0,0.0,0.0
Female_Subtle 02,Subtle,left,0.0,0.0,0.0
Female_Subtle 03,Subtle,left,0.0,0.0,0.0
Female_Subtle 04,Subtle,left,0.0,0.0,0.0
Female_Talking 01,Talking,left,0.0,0.0,0.0
Female_Talking 02,Talking,left,0.0,0.0,0.0
Female_Talking 03,Talking,left,0.0,0.0,0.0
Female_Talking 04,Talking,left,0.0,0.0,0.0
Female_Talking 05,Talking,left,0.0,0.0,0.0
Female_Terror,Terror,left,0.0,0.0,0.0
Female_Terror Phobia,Terror Phobia,left,0.0,0.0,0.0
Female_Ulgh,Ulgh,left,0.0,0.0,0.0
Female_Wicked 01,Wicked,left,0.0,0.0,0.0
Female_Wicked 02,Wicked,left,0.0,0.0,0.0
Female_Wicked 03,Wicked,left,0.0,0.0,0.0
Female_Wicked 04,Wicked,left,0.0,0.0,0.0
Female_Wicked 05,Wicked,left,0.0,0.0,0.0
Female_Wink,Wink,left,0.0,0.0,0.0
Female_With Forehead Wrinkles Angry 01,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Female_With Forehead Wrinkles Angry 02,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Female_With Forehead Wrinkles Angry 03,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Female_With Forehead Wrinkles Angry 04,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Female_With Forehead Wrinkles Angry 05,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Female_ZMouth Open Horizontal,ZMouth Open Horizontal,left,0.0,0.0,0.0
Female_ZMouth Open Horizontal And Vertical,ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Male_+10,+10,left,0.0,0.0,0.0
Male_+20,+20,left,0.0,0.0,0.0
Male_+20_ZMouth Open Horizontal And Vertical,+20_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Male_+30,+30,left,0.0,0.0,0.0
Male_+40,+40,left,0.0,0.0,0.0
Male_+50,+50,left,0.0,0.0,0.0
Male_+50_ZMouth Open Horizontal And Vertical,+50_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Male_-10,-10,left,0.0,0.0,0.0
Male_-10_ZMouth Open Horizontal And Vertical,-10_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Male_-20,-20,left,0.0,0.0,0.0
Male_-20_ZMouth Open Horizontal And Vertical,-20_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Male_-30,-30,left,0.0,0.0,0.0
Male_-40,-40,left,0.0,0.0,0.0
Male_-50,-50,left,0.0,0.0,0.0
Male_-60,-60,left,0.0,51.0,51.0
Male_0,0,left,0.0,0.0,0.0
Male_Angry 01,Angry,left,0.0,0.0,0.0
Male_Angry 02,Angry,left,0.0,0.0,0.0
Male_Angry 03,Angry,left,0.0,0.0,0.0
Male_Angry 04,Angry,left,0.0,0.0,0.0
Male_Angry 05,Angry,left,0.0,0.0,0.0
Male_Anguish,Anguish,left,0.0,0.0,0.0
Male_Animosity Growl,Animosity Growl,left,0.0,0.0,0.0
Male_Animosity Rebellious,Animosity Rebellious,left,0.0,0.0,0.0
Male_Bored 01,Bored,left,0.0,0.0,0.0
Male_Bored 03,Bored,left,0.0,0.0,0.0
Male_Bored 04,Bored,left,0.0,0.0,0.0
Male_Bored 05,Bored,left,0.0,0.0,0.0
Male_BreathTaking Over The Moon,BreathTaking Over The Moon,left,0.0,0.0,0.0
Male_Chewing,Chewing,left,0.0,0.0,0.0
Male_Choking,Choking,left,0.0,0.0,0.0
Male_Coughing,Coughing,left,0.0,0.0,0.0
Male_Crazed,Crazed,left,0.0,0.0,0.0
Male_Crying,Crying,left,0.0,0.0,0.0
Male_Cute 01,Cute,left,0.0,0.0,0.0
Male_Cute 02,Cute,left,0.0,0.0,0.0
Male_Cute 03,Cute,left,0.0,0.0,0.0
Male_Cute 04,Cute,left,0.0,0.0,0.0
Male_Cute 05,Cute,left,0.0,0.0,0.0
Male_Despise 01,Despise,left,0.0,0.0,0.0
