horizon_deg,side,n,positive,rate,rate_percent,median_lead,ci_low,ci_high
1,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
2,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
3,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
5,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
7,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
10,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
15,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
20,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
25,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
30,left,426,2,0.004694835680751174,0.4694835680751174,0.0,0.0,0.011737089201877934
40,left,426,1,0.002347417840375587,0.2347417840375587,0.0,0.0,0.007042253521126761
50,left,426,1,0.002347417840375587,0.2347417840375587,0.0,0.0,0.009389671361502348
