expression,left_A_distance,left_B_distance,left_lead,left_A_before_B,left_warning_1deg,left_warning_2deg,left_warning_3deg,left_warning_5deg,left_warning_7deg,left_warning_10deg,left_warning_15deg,left_warning_20deg,left_warning_25deg,left_warning_30deg,left_warning_40deg,left_warning_50deg,right_A_distance,right_B_distance,right_lead,right_A_before_B,right_warning_1deg,right_warning_2deg,right_warning_3deg,right_warning_5deg,right_warning_7deg,right_warning_10deg,right_warning_15deg,right_warning_20deg,right_warning_25deg,right_warning_30deg,right_warning_40deg,right_warning_50deg
Expressions Desire,9.0,7.0,-2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,20.0,13.0,-7.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Expressions Disgust,9.0,25.0,16.0,True,True,True,True,True,True,True,True,False,False,False,False,False,22.0,31.0,9.0,True,True,True,True,True,True,False,False,False,False,False,False,False
Expressions Excitement,10.0,26.0,16.0,True,True,True,True,True,True,True,True,False,False,False,False,False,22.0,24.0,2.0,True,True,True,False,False,False,False,False,False,False,False,False,False
Expressions Fear,10.0,19.0,9.0,True,True,True,True,True,True,False,False,False,False,False,False,False,21.0,24.0,3.0,True,True,True,True,False,False,False,False,False,False,False,False,False
Expressions Happiness,9.0,26.0,17.0,True,True,True,True,True,True,True,True,False,False,False,False,False,20.0,19.0,-1.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Expressions Sadness,9.0,22.0,13.0,True,True,True,True,True,True,True,False,False,False,False,False,False,20.0,18.0,-2.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Expressions Surprise,8.0,65.0,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,17.0,59.0,42.0,True,True,True,True,True,True,True,True,True,True,True,True,False
Eyeglasses,4.0,85.0,81.0,True,True,True,True,True,True,True,True,True,True,True,True,True,3.0,86.0,83.0,True,True,True,True,True,True,True,True,True,True,True,True,True
Fear,10.0,72.0,62.0,True,True,True,True,True,True,True,True,True,True,True,True,True,12.0,26.0,14.0,True,True,True,True,True,True,True,False,False,False,False,False,False
Fierce Cutthroat,8.0,21.0,13.0,True,True,True,True,True,True,True,False,False,False,False,False,False,5.0,21.0,16.0,True,True,True,True,True,True,True,True,False,False,False,False,False
Fierce Fiery,9.0,19.0,10.0,True,True,True,True,True,True,True,False,False,False,False,False,False,6.0,17.0,11.0,True,True,True,True,True,True,True,False,False,False,False,False,False
Fierce Savage,8.0,22.0,14.0,True,True,True,True,True,True,True,False,False,False,False,False,False,4.0,81.0,77.0,True,True,True,True,True,True,True,True,True,True,True,True,True
Happy,10.0,23.0,13.0,True,True,True,True,True,True,True,False,False,False,False,False,False,12.0,13.0,1.0,True,True,False,False,False,False,False,False,False,False,False,False,False
Happy Elated,10.0,23.0,13.0,True,True,True,True,True,True,True,False,False,False,False,False,False,8.0,37.0,29.0,True,True,True,True,True,True,True,True,True,True,False,False,False
Happy Perky,8.0,24.0,16.0,True,True,True,True,True,True,True,True,False,False,False,False,False,1.0,24.0,23.0,True,True,True,True,True,True,True,True,True,False,False,False,False
Happy So Peaceful,11.0,48.0,37.0,True,True,True,True,True,True,True,True,True,True,True,False,False,8.0,48.0,40.0,True,True,True,True,True,True,True,True,True,True,True,True,False
Humiliated,9.0,21.0,12.0,True,True,True,True,True,True,True,False,False,False,False,False,False,7.0,31.0,24.0,True,True,True,True,True,True,True,True,True,False,False,False,False
Insanity Deranged,8.0,43.0,35.0,True,True,True,True,True,True,True,True,True,True,True,False,False,5.0,84.0,79.0,True,True,True,True,True,True,True,True,True,True,True,True,True
Insanity Go Cucko,4.0,30.0,26.0,True,True,True,True,True,True,True,True,True,True,False,False,False,1.0,18.0,17.0,True,True,True,True,True,True,True,True,False,False,False,False,False
Insanity Go Cuckoo,9.0,21.0,12.0,True,True,True,True,True,True,True,False,False,False,False,False,False,11.0,25.0,14.0,True,True,True,True,True,True,True,False,False,False,False,False,False
Insanity Going Crazy,12.0,24.0,12.0,True,True,True,True,True,True,True,False,False,False,False,False,False,11.0,29.0,18.0,True,True,True,True,True,True,True,True,False,False,False,False,False
Insanity Hostile,9.0,56.0,47.0,True,True,True,True,True,True,True,True,True,True,True,True,False,7.0,67.0,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True
Insanity Lunatic,8.0,15.0,7.0,True,True,True,True,True,True,False,False,False,False,False,False,False,3.0,21.0,18.0,True,True,True,True,True,True,True,True,False,False,False,False,False
