direction,abs_angle,cosine,angular,euclidean,path,rate,curvature,instability,B_accuracy,C_margin,N
frontal,0.0,4.187679960800278e-10,0.00013898599639849027,1.9964063518135797e-08,0.0,0.07072792645430398,24.001060357742777,0.11899206196710432,0.9765807962529274,0.01363562490677666,427
left,1.0,0.002668603103110606,4.05342227066987,0.07072792651537431,0.07072792645430398,0.07110940484412939,21.175511959850816,0.09498010740661231,0.9859484777517564,0.013787916030481772,427
left,2.0,0.0058814763185291155,6.058099511635667,0.10567554503469892,0.14183733129843337,0.07243807755183838,20.34445205849959,0.09425484557446327,0.9929742388758782,0.014120188334507462,427
left,3.0,0.009421360576459897,7.746658144287538,0.1350914438274761,0.21427540885027174,0.07198460489092721,20.05915394269349,0.09360190527186461,0.9953161592505855,0.014438669770886245,427
left,4.0,0.013727339146008816,9.355403059260349,0.16308273211016866,0.28626001374119897,0.07528901441280121,19.140921274948887,0.09382818241448816,0.9953161592505855,0.014190806856758421,427
left,5.0,0.01895420836062286,10.994291804713443,0.19156205406373222,0.3615490281540002,0.07598976852847765,18.667660644945112,0.09624229306115199,0.9929742388758782,0.01365167293392244,427
left,6.0,0.024560789872109193,12.4982551054318,0.21765389111966105,0.43753879668247786,0.0768335015279627,18.655909264091182,0.09753611563449721,0.9742388758782201,0.01268501555333372,427
left,7.0,0.029967476947525346,13.825879439816262,0.24065937450814304,0.5143722982104405,0.0763409261262389,18.927359793055196,0.09930601955088296,0.955503512880562,0.011886317501023447,427
left,8.0,0.03612831939858072,15.177431810097616,0.26403585044924494,0.5907132243366794,0.07689168134080443,19.318928429380346,0.10165954067151496,0.9227166276346604,0.010890940313316898,427
left,9.0,0.04287675993224776,16.561295205591993,0.2879379365497227,0.6676049056774839,0.07783999721534916,19.306953803653855,0.10288789140745404,0.8524590163934426,0.009741711811941178,427
left,10.0,0.05053419698317659,18.002306618790996,0.31277748289795054,0.745444902892833,0.081541046552552,18.615611453418712,0.10530128810703056,0.8126463700234192,0.008866629918788579,427
left,11.0,0.05930487598691668,19.54089758602741,0.3392477212800913,0.8269859494453851,0.08024138566411909,18.350430094053344,0.10679914106111058,0.7681498829039812,0.008267916896024968,427
left,12.0,0.06735832406430389,20.85549340929304,0.36181202523881434,0.9072273351095042,0.07900231655259601,19.01882657411924,0.10660275485392756,0.7213114754098361,0.00745198165504938,427
left,13.0,0.07514661020082389,22.057325776343603,0.3823976246269302,0.9862296516621001,0.07676319456910081,19.569608760604773,0.10517170044661127,0.6557377049180327,0.006486044834592582,427
left,14.0,0.08167435469616213,23.011460118885623,0.39870284103398024,1.0629928462312008,0.07815230979782636,19.652925311051344,0.10466918847425481,0.6463700234192038,0.005797957508569579,427
left,15.0,0.08812094181427073,23.91185656420241,0.4140562938582981,1.1411451560290273,0.08010265991894366,19.330638256936023,0.10505936731883178,0.5971896955503513,0.00484777669437596,427
left,16.0,0.09575299105543722,24.92966843991425,0.4313703738414711,1.221247815947971,0.08064282515393767,19.53886536429704,0.10908905743889563,0.5550351288056206,0.003616771318315064,427
left,17.0,0.10389806054515079,25.970295224870956,0.449027382936634,1.3018906411019087,0.08622640734254895,18.78752885726385,0.11219152366738129,0.5245901639344263,0.002247289695561072,427
left,18.0,0.11410272735622504,27.18376347499374,0.46951943363741355,1.3881170484444576,0.08139001206435978,19.278222480075126,0.11647580521272831,0.4519906323185012,-0.0001742521549555401,427
left,19.0,0.12143329951467224,28.081425235757226,0.48470537402869945,1.4695070605088174,0.08299677535472764,19.32645025428858,0.11318840207728345,0.44028103044496486,-0.001302455292373407,427
left,20.0,0.1291559120810283,29.013868608854413,0.5004629706331383,1.552503835863545,0.08683570053873352,18.00002760840881,0.11361878250117045,0.4332552693208431,-0.0027271859539755613,427
left,21.0,0.13945751768085382,30.229362867475952,0.5209765602470282,1.6393395364022785,0.0855892291445224,17.13298138329097,0.11132841451699896,0.3700234192037471,-0.0049080900341900505,427
left,22.0,0.15003615938807538,31.429887320453723,0.5411758875818945,1.7249287655468009,0.08707570497478757,17.495680449307244,0.11544951715395378,0.3372365339578454,-0.006996163858462832,427
