abs_angle,cosine,angular,euclidean,path,rate,curvature,instability,B_accuracy,C_margin,N
0.0,4.187679960800278e-10,0.00013898599639849027,1.9964063518135797e-08,0.0,0.07072792645430398,24.001060357742777,0.11899206196710432,0.9765807962529274,0.01363562490677666,427
1.0,0.00414928786927699,4.476154996304658,0.07807325582898961,0.07807325586497749,0.07826399505989019,27.37646600521479,0.102963062883322,0.9918032786885246,0.014466302526080915,427
2.0,0.006761925142319476,6.144224830826775,0.1071535604351595,0.14587896746044554,0.06847004794932256,24.167275041350237,0.09024938512637129,0.9941451990632318,0.014791493463292893,427
3.0,0.009817422483229804,7.627800266971633,0.13299797603149463,0.2146455880409364,0.06853988425003527,22.429940936408116,0.08887110856651771,0.9953161592505855,0.014938120889440354,427
4.0,0.013642204031173742,9.106819803178729,0.15873557723953935,0.2833126525032559,0.07031926922325647,21.149980651119098,0.08981076156201422,0.9953161592505855,0.014730958804592874,427
5.0,0.01830026674884823,10.616425371002537,0.18497375271062802,0.3554962774361342,0.07253400199071655,20.894170112103406,0.09349715709686279,0.9941451990632318,0.014091135746422082,427
6.0,0.022835356220428503,11.877484961471737,0.2068587181919562,0.4272264635563333,0.07215205261994162,20.68610742517772,0.09473838007832229,0.9730679156908665,0.013269092285661005,427
7.0,0.02756980724580394,13.077903301989446,0.22766692760188909,0.5010312396293589,0.0735584883721637,21.027924912558,0.09726923865111288,0.9531615925058547,0.012345961999558175,427
8.0,0.03241821509334466,14.194325978638696,0.24699003191826216,0.5735899644044492,0.07283410238237306,21.25204816591543,0.09973948847598438,0.9285714285714286,0.011346722095855785,427
9.0,0.03772050910029534,15.335207286428233,0.26671227210788034,0.6481315052884891,0.07501569882131223,20.552046811937654,0.10141348151328693,0.8711943793911007,0.010469012852295779,427
10.0,0.04437732347559873,16.652206257299742,0.2894387908838253,0.7244552923726306,0.07817431175274299,19.095810463602444,0.10316946934603277,0.8290398126463701,0.009638953125169741,427
11.0,0.052677753100071355,18.17460738635454,0.3156592919201147,0.8054896560868366,0.08038453326998955,18.894530359096095,0.10750932014815562,0.7763466042154566,0.008859558951380101,427
12.0,0.06016080008178461,19.467726528225793,0.33788983377276877,0.8856220616985209,0.07951287105592268,19.317374782705283,0.10876768457090408,0.7412177985948478,0.008121852294064239,427
13.0,0.06902917905490348,20.89985488170204,0.362457416079223,0.96585624399475,0.07911462130448159,19.44522075357923,0.10508087868049776,0.6768149882903981,0.00688404738205099,427
14.0,0.07678009615011461,22.07349983423041,0.3825384934260499,1.0429929868401022,0.07783130045971491,20.11209440583297,0.10562003800859217,0.6533957845433255,0.005931681157275162,427
15.0,0.08351140704869665,23.046045351921816,0.3991435294582637,1.1210084733601215,0.07899066158057795,19.495877526573846,0.10703843055550331,0.6194379391100703,0.004987697760450198,427
16.0,0.09203062585142792,24.19821743663636,0.41875366749682524,1.2023850866981654,0.08164669595554087,19.20833646354139,0.11061695738056504,0.5819672131147541,0.0037764988542998983,427
17.0,0.10061795901358826,25.303770613614514,0.4375131832701819,1.2839499459431813,0.08435665033932173,19.231263495176183,0.11244049783037055,0.5515222482435597,0.0024177903174237288,427
18.0,0.11006623031942292,26.459674813429142,0.457062618462347,1.367234972950106,0.08086682936782999,19.380813152814017,0.11481039409266143,0.4918032786885246,0.0005620692876239571,427
19.0,0.11885882917556048,27.53496458044655,0.4752426526445974,1.4498762799354938,0.0834446886305717,19.318814300074116,0.11646489905459541,0.4707259953161593,-0.0005959201892030881,427
20.0,0.12730671594517012,28.55775691753807,0.49251875691377583,1.5339675840978408,0.08601076675435,18.56423759809266,0.11930090133144369,0.4449648711943794,-0.0019230300285777108,427
21.0,0.13772640441843162,29.78825871559161,0.513273791595421,1.6216364216366979,0.08704560184175153,17.41516743307403,0.11802102193951747,0.405152224824356,-0.0035341922237387305,427
22.0,0.148362861025808,31.000844581344925,0.533665620994512,1.7101473863437266,0.08925420262216126,17.286957717413124,0.11927012820451126,0.3747072599531616,-0.0052761864745924005,427
23.0,0.16000335026680726,32.27000455833989,0.5549366499975638,1.7997731940015993,0.0901587834010289,17.486617559732654,0.12366627253574565,0.3395784543325527,-0.007223583216968688,427
24.0,0.16996653828185393,33.35207910783397,0.573058290210764,1.890288688012331,0.08940521282617186,17.63699989496142,0.12067443531538759,0.3161592505854801,-0.008949709999477556,427
25.0,0.1760255111603882,34.0081690647563,0.5840496017796094,1.9766144199303375,0.08653429929228103,18.288484847689414,0.12141247427819485,0.30327868852459017,-0.009715997572525881,427
